"Date","Instagram Profile","Followers","Net Follower Growth","Followers Gained","Followers Lost","Following","Net Following Growth","Published Posts","Views","Reach","Organic Engagements","Organic Likes","Organic Comments","Organic Shares","Organic Saves","Story Replies","Engagement Rate (per View)"
"10-01-2025","josecuervotequila","110,933","6","37","31","171","0","4","606,087","515,494","52","33","6","9","3","1","0.01%"
"10-02-2025","josecuervotequila","110,930","-3","45","48","171","0","2","624,678","527,318","46","41","1","3","1","0","0.01%"
"10-03-2025","josecuervotequila","110,958","28","56","28","171","0","0","651,875","581,561","47","35","10","1","1","0","0.01%"
"10-04-2025","josecuervotequila","110,977","19","39","20","171","0","3","609,136","528,718","22","17","3","1","1","0","0%"
"10-05-2025","josecuervotequila","110,992","15","38","23","171","0","6","530,562","455,125","71","56","6","7","1","1","0.01%"
"10-06-2025","josecuervotequila","111,016","24","48","24","171","0","5","517,896","453,148","14","13","0","1","0","0","0%"
"10-07-2025","josecuervotequila","111,002","-14","33","47","171","0","4","582,501","508,840","93","84","1","4","3","1","0.02%"
"10-08-2025","josecuervotequila","111,013","11","37","26","171","0","7","709,723","632,166","126","95","12","13","5","1","0.02%"
"10-09-2025","josecuervotequila","111,029","16","38","22","171","0","1","545,782","474,168","32","22","3","6","0","1","0.01%"
"10-10-2025","josecuervotequila","111,038","9","42","33","171","0","0","631,427","544,481","24","23","0","1","0","0","0%"
"10-11-2025","josecuervotequila","111,036","-2","48","50","171","0","5","675,632","584,208","169","120","30","14","3","2","0.03%"
"10-12-2025","josecuervotequila","111,062","26","35","9","171","0","0","739,000","638,003","108","73","25","9","1","0","0.01%"
"10-13-2025","josecuervotequila","111,067","5","61","56","171","0","7","687,613","571,803","25","15","4","6","0","0","0%"
"10-14-2025","josecuervotequila","111,113","46","62","16","171","0","4","749,942","644,181","53","44","3","3","3","0","0.01%"
"10-15-2025","josecuervotequila","111,119","6","44","38","171","0","0","718,254","583,846","56","42","0","12","2","0","0.01%"
"10-16-2025","josecuervotequila","111,152","33","65","32","171","0","1","694,131","573,535","63","55","3","4","1","0","0.01%"
"10-17-2025","josecuervotequila","111,186","34","43","9","171","0","5","776,612","643,558","55","47","3","3","2","0","0.01%"
"10-18-2025","josecuervotequila","111,206","20","46","26","171","0","1","865,479","687,182","38","37","0","0","1","0","0%"
"10-19-2025","josecuervotequila","111,213","7","39","32","171","0","1","789,690","646,502","63","51","2","6","3","1","0.01%"
"10-20-2025","josecuervotequila","111,212","-1","34","35","171","0","8","850,461","688,977","99","77","9","8","4","1","0.01%"
"10-21-2025","josecuervotequila","111,224","12","34","22","171","0","2","894,052","752,427","76","57","0","15","4","0","0.01%"
"10-22-2025","josecuervotequila","111,227","3","47","44","171","0","5","909,566","777,467","19","14","2","1","0","2","0%"
"10-23-2025","josecuervotequila","111,221","-6","56","62","","","2","831,698","680,397","59","11","3","44","1","0","0.01%"
"10-24-2025","josecuervotequila","111,269","48","48","0","172","","1","904,881","736,049","252","166","42","28","16","0","0.03%"
"10-25-2025","josecuervotequila","111,289","20","41","21","172","0","1","874,238","758,607","24","13","1","2","8","0","0%"
"10-26-2025","josecuervotequila","111,304","15","42","27","172","0","0","990,843","868,108","6","4","0","1","1","0","0%"
"10-27-2025","josecuervotequila","111,326","22","50","28","172","0","1","909,752","809,438","30","28","0","1","1","0","0%"
"10-28-2025","josecuervotequila","111,346","20","40","20","172","0","4","927,296","786,417","297","268","22","5","2","0","0.03%"
"10-29-2025","josecuervotequila","111,357","11","51","40","172","0","8","904,091","791,830","36","25","5","3","2","1","0%"
"10-30-2025","josecuervotequila","111,376","19","53","34","172","0","8","928,767","785,633","249","210","15","19","5","0","0.03%"
"10-31-2025","josecuervotequila","111,387","11","33","22","172","0","12","875,350","706,978","220","188","5","23","4","0","0.03%"
"11-01-2025","josecuervotequila","111,396","9","43","34","172","0","9","1,065,076","845,334","52","40","1","2","2","7","0%"
"11-02-2025","josecuervotequila","111,405","9","37","28","172","0","1","1,131,079","905,113","128","93","2","28","3","2","0.01%"
"11-03-2025","josecuervotequila","111,417","12","60","48","172","0","7","966,866","800,575","36","25","0","11","0","0","0%"
"11-04-2025","josecuervotequila","111,437","20","46","26","172","0","1","957,065","775,810","23","20","1","1","1","0","0%"
"11-05-2025","josecuervotequila","111,445","8","42","34","172","0","2","928,414","720,887","16","13","0","2","1","0","0%"
"11-06-2025","josecuervotequila","111,460","15","46","31","172","0","1","861,217","714,736","49","41","0","6","2","0","0.01%"
"11-07-2025","josecuervotequila","111,492","32","34","2","172","0","9","785,874","644,990","75","41","13","14","4","3","0.01%"
"11-08-2025","josecuervotequila","111,503","11","40","29","172","0","7","804,232","674,698","40","26","6","5","1","2","0%"
"11-09-2025","josecuervotequila","111,512","9","41","32","172","0","1","752,505","600,309","15","11","2","2","0","0","0%"
"11-10-2025","josecuervotequila","111,519","7","49","42","172","0","6","744,655","575,302","18","9","3","2","3","1","0%"
"11-11-2025","josecuervotequila","111,522","3","37","34","172","0","4","756,582","617,476","156","127","16","11","2","0","0.02%"
