"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Reels Skip Rate","Crossposted Reels Views","Facebook Reels Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Tags"
"4/8/2026 9:22 pm","18125851165573603","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3871155980537168634","",,"144","144","","125","125","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","89","33","0","","","","",""
"4/8/2026 8:02 pm","18115741879679614","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3871115555072284821","",,"155","155","","140","140","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","117","15","0","","","","",""
"4/8/2026 3:04 pm","17982165398993138","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3870965686475058104","",,"210","210","","167","167","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","145","26","0","","","","",""
"4/8/2026 2:53 pm","18126391996570186","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3870959906816451550","",,"466","466","","302","302","","","0.43%","2","","","","","","","","","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","159","13","0","","","","",""
"4/8/2026 10:03 am","18113563786777434","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3870814210578373667","",,"232","232","","187","187","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","180","24","0","","","","",""
"4/8/2026 10:03 am","17995452815764252","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3870814059247867789","",,"216","216","","187","187","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","186","3","0","","","","",""
"4/8/2026 10:02 am","18098630648295815","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3870813601984860538","",,"222","222","","186","186","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","187","2","0","","","","",""
"4/8/2026 10:02 am","18118320433564738","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3870813518828564998","",,"222","222","","193","193","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","192","4","0","","","","",""
"4/8/2026 10:02 am","18077464883148978","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3870813282504707758","",,"250","250","","207","207","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","186","10","0","","","","",""
"4/8/2026 10:01 am","18094963147894029","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3870812766940825974","",,"277","277","","235","235","","","0.72%","2","","","","","","","","","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","162","22","0","","","","",""
"4/7/2026 8:48 pm","18391515991154047","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3870414067852963247","",,"216","216","","171","171","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","122","37","0","","","","",""
