"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Tags"
"1/31/2026 11:41 am","18055223735399495","Instagram","Reel","Video","josecuervotequila"," ","https://www.instagram.com/reel/DULp4hkguTr/","From ground to glass, Cuervo has been leading the charge in tequila sustainability and we took that story straight to New Orleans 🌱✨

Hit the link in bio to learn more about our sustainability practices!",,"1,708","1,708","","1,337","1,337","","","3.57%","61","51","51","","","","","","","1","7","2","","","","","","","","","1,708","1,708","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/29/2026 3:30 pm","18033301121574380","Instagram","Post","Carousel","josecuervotequila"," ","https://www.instagram.com/p/DUG6nyAEtK6/","From agave to after-party ♻️

We don’t just craft tequila, we repurpose our agave bagasse into cups and new products that keep the celebration going with less waste. 

That’s how Cuervo does sustainability. 🌱",,"2,076","2,076","","858","858","","","1.97%","41","39","39","","","","","","","2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/28/2026 11:51 am","18054067703676388","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3820164225625413420","",,"1,951","1,951","","1,609","1,609","","","0.05%","1","","","","","","","","","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","133","909","183","1","","","","",""
"1/28/2026 11:51 am","18081258662601035","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3820164189495636721","",,"2,618","2,618","","2,216","2,216","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","559","132","0","","","","",""
"1/27/2026 1:26 pm","18193111741343717","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3819487421482895105","",,"281","281","","236","236","","","0.36%","1","","","","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","191","46","0","","","","",""
"1/27/2026 1:25 pm","18393693406197790","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3819486815733124065","",,"47","47","","36","36","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","35","7","0","","","","",""
"1/27/2026 1:25 pm","17871231990533619","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3819486708937743714","",,"45","45","","36","36","","","2.22%","1","","","","","","","","","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","36","1","1","","","","",""
"1/27/2026 1:24 pm","18552656809044482","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3819486296327298463","",,"414","414","","362","362","","","0.24%","1","","","","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","219","16","0","","","","",""
"1/27/2026 8:38 am","18069310961444145","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3819342416885766383","",,"275","275","","220","220","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","199","31","0","","","","",""
"1/27/2026 8:37 am","18073035602381866","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3819341764990252534","",,"279","279","","227","227","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","203","8","0","","","","",""
"1/27/2026 8:36 am","18085566944272578","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3819341545049340965","",,"272","272","","232","232","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","231","10","0","","","","",""
"1/27/2026 8:36 am","17879833176462073","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3819341236935731379","",,"264","264","","238","238","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","230","13","0","","","","",""
