"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Tags"
"3/15/2026 11:19 pm","17885146389460011","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3853820112386565161","",,"329","329","","270","270","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","207","43","0","","","","",""
"3/15/2026 11:19 pm","18059161868387940","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3853819968622570387","",,"395","395","","336","336","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","239","35","0","","","","",""
"3/12/2026 10:48 pm","18060819599343656","Instagram","Post","Carousel","josecuervotequila","Estefanie Marmolejo","https://www.instagram.com/p/DVzvUvSDYz3/","If you were at @nascar, you already know 🔥Drop a 🏁below if you got under 30 seconds!! 👇#iykyk 

As the official tequila of @nascar, we didn’t just show up, we sparked the moment with Margs in hand!

Daytona hits different with Cuervo 🥃⚡",,"4,991","4,991","","2,288","2,288","","","2.52%","126","110","110","","","","","","","5","9","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/11/2026 12:59 pm","17850670806643712","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3850609064544186599","",,"555","555","","493","493","","","0.36%","2","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","348","70","1","","","","",""
"3/9/2026 5:37 pm","18000725951883359","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3849299223502601420","",,"334","334","","334","334","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","242","55","0","","","","",""
"3/9/2026 5:37 pm","18082586846369286","Instagram","Reel","Video","josecuervotequila"," ","https://www.instagram.com/reel/DVrc-nUDw9M/","Were you at @nascar Daytona?! 🏁 Did you see that finish?!?! Let us know what you thought below 👇🔥

Together we raised a little hell and sparked the moment with @devilsreserve pineapple jalapeño infused tequila and @josecuervotequila!",,"3,435","3,435","","2,605","2,605","","","1.89%","65","50","50","","","","","","","2","11","2","","","","","","","","","3,435","3,435","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/9/2026 5:29 pm","zQuXUSs9Vfo","YouTube","Post","Video","Jose Cuervo","Estefanie Marmolejo","https://www.youtube.com/watch?v=zQuXUSs9Vfo","Were you at @nascar Daytona?! 🏁 Did you see that finish?!?! Let us know what you thought below 👇🔥

Together we raised a little hell and sparked the moment with @devilsreserve pineapple jalapeño infused tequila and @josecuervotequila!",,"","","","","","","","","5","4","1","3","","","","","","0","1","","","","0","","0","0","0","0","1,417","","","","","","","","","","","","","","","","","","82","","","","","0","0","0","",""
"3/9/2026 12:04 pm","18113046292657224","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3849131781375542891","",,"552","552","","550","550","","","0.72%","4","","","","","","","","","0","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","291","73","0","","","","",""
"3/8/2026 12:06 pm","18088908515141631","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3848407859965337487","",,"272","272","","230","230","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","193","49","0","","","","",""
"3/8/2026 12:06 pm","17905846908202345","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3848407654780019146","",,"289","289","","237","237","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","246","3","0","","","","",""
"3/8/2026 12:05 pm","18069805895557353","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3848407565516860953","",,"314","314","","246","246","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","257","14","0","","","","",""
"3/8/2026 12:05 pm","17941699071149141","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3848407471153370192","",,"417","417","","346","346","","","0.72%","3","","","","","","","","","0","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","260","8","0","","","","",""
"3/8/2026 12:05 pm","18396426214146460","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3848407406586297850","",,"309","309","","271","271","","","0.65%","2","","","","","","","","","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","257","11","0","","","","",""
"3/8/2026 12:05 pm","17913738411335117","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3848407339099927474","👏👏👏👏",,"396","396","","341","341","","","0.25%","1","","","","","","","","","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","259","33","1","","","","",""
