"Date","Network","Profile","Audience","Net Audience Growth","Published Posts","Public Engagements","Public Engagements per Post","% Audience Growth","Published Carousels","Published Videos","Published Photos","Published Links","Published Text","Reactions","Comments","Shares","Top Hashtags by Lifetime Public Engagements"
"11-01-2025","Facebook","Devil's Reserve","174","2","0","0","0","1.1628%","","0","0","0","0","0","0","0",""
"11-01-2025","Instagram","devilsreserve","1,768","17","0","0","0","0.9709%","","0","0","0","0","0","0","0",""
"11-01-2025","Instagram","fireballwhisky","165,368","6","0","0","0","0.0036%","0","0","0","0","0","0","0","0",""
"11-01-2025","Instagram","jagermeister","502,405","2","0","0","0","0.0004%","0","0","0","0","0","0","0","0",""
"11-01-2025","Instagram","pinkwhitney","154,349","7","0","0","0","0.0045%","0","0","0","0","0","0","0","0",""
"11-01-2025","Instagram","tequilacazadores","37,896","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0",""
"11-02-2025","Facebook","Devil's Reserve","174","0","0","0","0","0.0000%","","0","0","0","0","0","0","0",""
"11-02-2025","Instagram","devilsreserve","1,820","52","0","0","0","2.9412%","","0","0","0","0","0","0","0",""
"11-02-2025","Instagram","fireballwhisky","165,375","7","0","0","0","0.0042%","0","0","0","0","0","0","0","0",""
"11-02-2025","Instagram","jagermeister","502,406","1","0","0","0","0.0002%","0","0","0","0","0","0","0","0",""
"11-02-2025","Instagram","pinkwhitney","154,347","-2","0","0","0","-0.0013%","0","0","0","0","0","0","0","0",""
"11-02-2025","Instagram","tequilacazadores","37,896","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0",""
"11-03-2025","Facebook","Devil's Reserve","177","3","0","0","0","1.7241%","","0","0","0","0","0","0","0",""
"11-03-2025","Instagram","devilsreserve","1,906","86","0","0","0","4.7253%","","0","0","0","0","0","0","0",""
"11-03-2025","Instagram","fireballwhisky","165,364","-11","1","1,467","1,467","-0.0067%","0","0","1","0","0","1,447","20","0",""
"11-03-2025","Instagram","jagermeister","502,356","-50","1","7,867","7,867","-0.0100%","1","0","0","0","0","7,848","19","0",""
"11-03-2025","Instagram","pinkwhitney","154,336","-11","0","0","0","-0.0071%","0","0","0","0","0","0","0","0",""
"11-03-2025","Instagram","tequilacazadores","37,897","1","0","0","0","0.0026%","0","0","0","0","0","0","0","0",""
"11-04-2025","Facebook","Devil's Reserve","177","0","0","0","0","0.0000%","","0","0","0","0","0","0","0",""
"11-04-2025","Instagram","devilsreserve","1,921","15","0","0","0","0.7870%","","0","0","0","0","0","0","0",""
"11-04-2025","Instagram","fireballwhisky","165,364","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0",""
"11-04-2025","Instagram","jagermeister","502,334","-22","0","0","0","-0.0044%","0","0","0","0","0","0","0","0",""
"11-04-2025","Instagram","pinkwhitney","154,312","-24","0","0","0","-0.0156%","0","0","0","0","0","0","0","0",""
"11-04-2025","Instagram","tequilacazadores","37,899","2","0","0","0","0.0053%","0","0","0","0","0","0","0","0",""
"11-05-2025","Facebook","Devil's Reserve","175","-2","0","0","0","-1.1299%","","0","0","0","0","0","0","0",""
"11-05-2025","Instagram","devilsreserve","1,929","8","0","0","0","0.4164%","","0","0","0","0","0","0","0",""
"11-05-2025","Instagram","fireballwhisky","165,388","24","1","229","229","0.0145%","0","1","0","0","0","221","8","0",""
"11-05-2025","Instagram","jagermeister","502,347","13","1","5,304","5,304","0.0026%","0","0","1","0","0","5,265","39","0",""
"11-05-2025","Instagram","pinkwhitney","154,296","-16","0","0","0","-0.0104%","0","0","0","0","0","0","0","0",""
"11-05-2025","Instagram","tequilacazadores","37,904","5","1","44","44","0.0132%","0","1","0","0","0","42","2","0","#RealTequilaForRealPeople, #Margarita, #CocktailRecipe"
"11-06-2025","Facebook","Devil's Reserve","173","-2","0","0","0","-1.1429%","","0","0","0","0","0","0","0",""
"11-06-2025","Instagram","devilsreserve","1,936","7","0","0","0","0.3629%","","0","0","0","0","0","0","0",""
"11-06-2025","Instagram","fireballwhisky","165,410","22","0","0","0","0.0133%","0","0","0","0","0","0","0","0",""
"11-06-2025","Instagram","jagermeister","502,372","25","0","0","0","0.0050%","0","0","0","0","0","0","0","0",""
"11-06-2025","Instagram","pinkwhitney","154,287","-9","0","0","0","-0.0058%","0","0","0","0","0","0","0","0",""
"11-06-2025","Instagram","tequilacazadores","37,903","-1","0","0","0","-0.0026%","0","0","0","0","0","0","0","0",""
"11-07-2025","Facebook","Devil's Reserve","173","0","0","0","0","0.0000%","","0","0","0","0","0","0","0",""
"11-07-2025","Instagram","devilsreserve","1,937","1","0","0","0","0.0517%","","0","0","0","0","0","0","0",""
"11-07-2025","Instagram","fireballwhisky","165,490","80","1","660","660","0.0484%","0","0","1","0","0","635","25","0","#fireballwhisky, #fireball"
"11-07-2025","Instagram","jagermeister","502,490","118","1","444","444","0.0235%","0","1","0","0","0","437","7","0",""
"11-07-2025","Instagram","pinkwhitney","154,309","22","1","784","784","0.0143%","0","1","0","0","0","771","13","0",""
"11-07-2025","Instagram","tequilacazadores","37,897","-6","0","0","0","-0.0158%","0","0","0","0","0","0","0","0",""
"11-08-2025","Facebook","Devil's Reserve","172","-1","0","0","0","-0.5780%","","0","0","0","0","0","0","0",""
"11-08-2025","Instagram","devilsreserve","1,939","2","0","0","0","0.1033%","","0","0","0","0","0","0","0",""
"11-08-2025","Instagram","fireballwhisky","165,508","18","0","0","0","0.0109%","0","0","0","0","0","0","0","0",""
"11-08-2025","Instagram","jagermeister","502,557","67","0","0","0","0.0133%","0","0","0","0","0","0","0","0",""
"11-08-2025","Instagram","pinkwhitney","154,316","7","0","0","0","0.0045%","0","0","0","0","0","0","0","0",""
"11-08-2025","Instagram","tequilacazadores","37,896","-1","0","0","0","-0.0026%","0","0","0","0","0","0","0","0",""
"11-09-2025","Facebook","Devil's Reserve","173","1","0","0","0","0.5814%","","0","0","0","0","0","0","0",""
"11-09-2025","Instagram","devilsreserve","1,936","-3","0","0","0","-0.1547%","","0","0","0","0","0","0","0",""
