"Date","Post ID","Network","Post Type","Content Type","Profile","Link","Post","Linked Content","Public Engagements","Reactions","Comments","Shares"
"3/6/2026 6:01 pm","18082010789600135","Instagram","Reel","Video","ciroc","https://www.instagram.com/reel/DVj3l62DtRG/","send this to the person that bailed on you tn 😔🍸","","137,292","136,695","597",""
"4/24/2025 3:00 pm","18291651052223447","Instagram","Reel","Video","fireballwhisky","https://www.instagram.com/reel/DI1xudysfgE/","plan a rager at the nursing home with me","","136,442","133,628","2,814",""
"6/9/2025 5:27 am","18082237315747902","Instagram","Post","Carousel","jagermeister","https://www.instagram.com/p/DKrMvXRN_hp/","New fit. Do you like it? ✨","","65,806","65,722","84",""
"1/22/2026 1:05 pm","18068577731445653","Instagram","Post","Photo","jagermeister","https://www.instagram.com/p/DT0ohaxDaaY/","They asked “but why?“. This is why.","","50,341","50,151","190",""
"4/10/2025 3:00 pm","18323166661202851","Instagram","Reel","Video","fireballwhisky","https://www.instagram.com/reel/DIRuoDvy41B/","wish me luck! 

#fireballpartner","","43,472","42,260","1,212",""
"3/10/2026 5:44 pm","18568468552022559","Instagram","Reel","Video","ciroc","https://www.instagram.com/reel/DVuC5ETjpLT/","Tuesday activities","","42,408","42,244","164",""
"2/14/2026 6:25 am","18503745409073562","Instagram","Post","Photo","jagermeister","https://www.instagram.com/p/DUvI8FdDYlG/","When you know, you know.","","41,556","41,467","89",""
"11/18/2025 2:28 pm","18096698416805829","Instagram","Reel","Video","fireballwhisky","https://www.instagram.com/reel/DRNYniigW5U/","Good soup.

#fireball #fireballwhisky","","36,105","35,973","132",""
"2/27/2026 6:06 pm","18106000594652367","Instagram","Reel","Video","ciroc","https://www.instagram.com/reel/DVR3UDKjq_A/","When the vodka is made from French grapes >>","","33,667","33,637","30",""
"5/19/2025 12:01 am","18104205022518822","Instagram","Reel","Video","pinkwhitney","https://www.instagram.com/reel/DJ0itklNKzD/","The annual post","","31,112","30,976","136",""
"6/24/2025 5:09 am","18092535619716147","Instagram","Reel","Video","jagermeister","https://www.instagram.com/reel/DLRygXFtYpN/","Citrus Amore","","30,202","30,008","194",""
"7/8/2025 11:12 pm","18090948724652028","Instagram","Post","Carousel","jagermeister","https://www.instagram.com/p/DL3xuVAiVTr/","OOTD never looked so delicious.","","27,351","27,303","48",""
"7/25/2025 1:45 pm","18145473322400736","Instagram","Post","Photo","pinkwhitney","https://www.instagram.com/p/DMiiUr3OP5f/","That calls for a cold Pink Whitney","","25,120","25,073","47",""
"3/15/2025 11:22 pm","18002365034585559","Instagram","Post","Carousel","pinkwhitney","https://www.instagram.com/p/DHPreiIxeCZ/","This is how you ring in 40 biznasty","","24,628","24,470","158",""
"4/1/2025 10:14 pm","17993475500632941","Instagram","Post","Photo","pinkwhitney","https://www.instagram.com/p/DH7VIZMN-Zr/","Coming soon👀 keith3yandle","","23,906","23,589","317",""
"7/29/2025 9:34 am","17943440612899861","Instagram","Post","Carousel","jagermeister","https://www.instagram.com/p/DMsYvvxNQvR/","Orange, you glad we hired professionals?","","23,078","22,916","162",""
"7/3/2025 7:06 pm","18006333173672703","Instagram","Post","Photo","pinkwhitney","https://www.instagram.com/p/DLqdnSpuDJ4/","Workin on my tan","","22,863","22,818","45",""
