"Date","Post ID","Network","Post Type","Content Type","Profile","Link","Post","Linked Content","Public Engagements","Reactions","Comments","Shares"
"1/22/2026 1:05 pm","18068577731445653","Instagram","Post","Photo","jagermeister","https://www.instagram.com/p/DT0ohaxDaaY/","They asked “but why?“. This is why.","","50,327","50,137","190",""
"2/14/2026 6:25 am","18503745409073562","Instagram","Post","Photo","jagermeister","https://www.instagram.com/p/DUvI8FdDYlG/","When you know, you know.","","37,867","37,787","80",""
"11/18/2025 2:28 pm","18096698416805829","Instagram","Reel","Video","fireballwhisky","https://www.instagram.com/reel/DRNYniigW5U/","Good soup.

#fireball #fireballwhisky","","36,105","35,973","132",""
"12/6/2025 12:50 pm","17877199107355944","Instagram","Post","Photo","pinkwhitney","https://www.instagram.com/p/DR7lZDnEeYI/","Pucker up😚","","20,487","20,475","12",""
"1/20/2026 2:46 pm","18106972714663754","Instagram","Post","Photo","pinkwhitney","https://www.instagram.com/p/DTvqbiOAfwi/","Tag them","","12,925","12,896","29",""
"2/4/2026 3:29 am","17868658698457309","Instagram","Post","Photo","jagermeister","https://www.instagram.com/p/DUVE3Yhja4D/","Love at first ice.","","10,834","10,815","19",""
"2/11/2026 11:03 am","18128918593523419","Instagram","Post","Photo","jagermeister","https://www.instagram.com/p/DUn6V_1DbKY/","Real romantics get it.","","8,876","8,856","20",""
"11/3/2025 8:20 am","18102359077637547","Instagram","Post","Carousel","jagermeister","https://www.instagram.com/p/DQmIQa1Df5a/","Tag your mini or your big","","7,867","7,848","19",""
"1/9/2026 8:43 am","18338093200239633","Instagram","Reel","Video","jagermeister","https://www.instagram.com/reel/DTSr6TnjRx0/","not to brag, but…","","7,467","7,414","53",""
"12/31/2025 6:05 am","18091871960478449","Instagram","Post","Photo","jagermeister","https://www.instagram.com/p/DS7O45vDTwZ/","New year, same lover.","","6,941","6,930","11",""
"1/30/2026 7:17 pm","18047278871496338","Instagram","Post","Carousel","pinkwhitney","https://www.instagram.com/p/DUJ5bVIEW5g/","THANK YOU HOCKEY VALLEY","","6,445","6,415","30",""
"1/29/2026 2:43 pm","18111508921639625","Instagram","Reel","Video","fireballwhisky","https://www.instagram.com/reel/DUG1GdGAVPU/","This stays between me and the oats","","6,115","6,049","66",""
