"Date","Instagram Profile","Followers","Net Follower Growth","Followers Gained","Followers Lost","Following","Net Following Growth","Published Posts","Views","Reach","Organic Engagements","Organic Likes","Organic Comments","Organic Shares","Organic Saves","Story Replies","Engagement Rate (per View)"
"02-01-2025","devilsreserve","","","","","","","0","0","0","0","","","","","0","0%"
"02-02-2025","devilsreserve","","","","","","","0","0","0","0","","","","","0","0%"
"02-03-2025","devilsreserve","","","","","","","0","8","3","0","","","","","0","0%"
"02-04-2025","devilsreserve","","","","","","","0","10","4","0","","","","","0","0%"
"02-05-2025","devilsreserve","","","","","","","0","11","1","0","","","","","0","0%"
"02-06-2025","devilsreserve","","","","","","","0","0","0","0","","","","","0","0%"
"02-07-2025","devilsreserve","","","","","","","0","6","2","0","","","","","0","0%"
"02-08-2025","devilsreserve","","","","","","","0","10","4","0","","","","","0","0%"
"02-09-2025","devilsreserve","","","","","","","0","5","1","0","","","","","0","0%"
"02-10-2025","devilsreserve","","","","","","","0","13","4","0","","","","","0","0%"
"02-11-2025","devilsreserve","","","","","","","0","0","0","0","","","","","0","0%"
"02-12-2025","devilsreserve","","","","","","","0","33","4","0","","","","","0","0%"
"02-13-2025","devilsreserve","","","","","","","0","15","6","0","","","","","0","0%"
"02-14-2025","devilsreserve","","","","","","","0","19","5","0","","","","","0","0%"
"02-15-2025","devilsreserve","","","","","","","0","3","1","0","","","","","0","0%"
"02-16-2025","devilsreserve","","","","","","","0","6","2","0","","","","","0","0%"
"02-17-2025","devilsreserve","","","","","","","0","18","2","0","","","","","0","0%"
"02-18-2025","devilsreserve","","","","","","","0","16","2","0","","","","","0","0%"
"02-19-2025","devilsreserve","","","","","","","0","0","0","0","","","","","0","0%"
"02-20-2025","devilsreserve","","","","","","","0","2","1","0","","","","","0","0%"
"02-21-2025","devilsreserve","","","","","","","1","838","396","0","0","0","0","0","0","0%"
"02-22-2025","devilsreserve","","","","","","","1","1,320","685","5","3","1","1","0","0","0.38%"
"02-23-2025","devilsreserve","","","","","","","0","278","204","26","15","3","8","0","0","9.35%"
"02-24-2025","devilsreserve","","","","","","","0","277","130","26","19","3","4","0","0","9.39%"
"02-25-2025","devilsreserve","","","","","","","0","130","65","21","12","3","5","1","0","16.15%"
"02-26-2025","devilsreserve","","","","","","","0","239","116","13","8","2","3","0","0","5.44%"
"02-27-2025","devilsreserve","","","","","","","1","346","181","9","6","2","1","0","0","2.6%"
"02-28-2025","devilsreserve","","","","","","","0","451","242","10","7","0","3","0","0","2.22%"
"03-01-2025","devilsreserve","","","","","","","1","477","200","16","11","2","3","0","0","3.35%"
"03-02-2025","devilsreserve","","","","","","","0","275","157","14","10","2","2","0","0","5.09%"
"03-03-2025","devilsreserve","","","","","","","0","296","198","16","12","1","3","0","0","5.41%"
"03-04-2025","devilsreserve","","","","","","","0","230","83","12","9","2","1","0","0","5.22%"
"03-05-2025","devilsreserve","","","","","","","0","53","12","10","5","2","2","1","0","18.87%"
"03-06-2025","devilsreserve","","","","","","","0","74","13","7","6","0","1","0","0","9.46%"
"03-07-2025","devilsreserve","","","","","","","0","59","23","4","3","0","1","0","0","6.78%"
"03-08-2025","devilsreserve","","","","","","","0","79","12","7","3","2","2","0","0","8.86%"
"03-09-2025","devilsreserve","","","","","","","0","14","7","3","2","1","0","0","0","21.43%"
"03-10-2025","devilsreserve","","","","","","","0","16","8","1","1","0","0","0","0","6.25%"
"03-11-2025","devilsreserve","","","","","","","0","59","11","1","1","0","0","0","0","1.69%"
"03-12-2025","devilsreserve","","","","","","","0","269","175","1","1","0","0","0","0","0.37%"
"03-13-2025","devilsreserve","","","","","","","1","179,808","161,240","1","1","0","0","0","0","0%"
"03-14-2025","devilsreserve","","","","","","","1","226,255","203,112","5","3","1","1","0","0","0%"
"03-15-2025","devilsreserve","","","","","","","0","190,687","183,583","14","11","1","2","0","0","0.01%"
"03-16-2025","devilsreserve","","","","","","","0","170,096","169,854","22","17","3","1","1","0","0.01%"
"03-17-2025","devilsreserve","","","","","","","1","157,918","160,670","12","10","0","2","0","0","0.01%"
"03-18-2025","devilsreserve","","","","","","","0","154,342","153,862","12","11","0","1","0","0","0.01%"
"03-19-2025","devilsreserve","","","","","","","0","164,807","175,551","18","14","3","0","1","0","0.01%"
"03-20-2025","devilsreserve","","","","","","","1","163,904","171,681","12","11","0","1","0","0","0.01%"
"03-21-2025","devilsreserve","","","","","","","0","170,593","174,631","9","9","0","0","0","0","0.01%"
"03-22-2025","devilsreserve","","","","","","","0","165,548","166,630","17","15","1","1","0","0","0.01%"
"03-23-2025","devilsreserve","","","","","","","0","184,694","190,225","15","11","1","2","1","0","0.01%"
"03-24-2025","devilsreserve","","","","","","","0","165,231","171,915","6","5","0","0","1","0","0%"
"03-25-2025","devilsreserve","","","","","","","0","147,072","163,089","8","7","1","0","0","0","0.01%"
"03-26-2025","devilsreserve","","","","","","","0","146,070","157,898","7","5","1","1","0","0","0%"
"03-27-2025","devilsreserve","","","","","","","1","133,073","146,240","3","3","0","0","0","0","0%"
"03-28-2025","devilsreserve","","","","","","","0","148,022","164,738","5","4","0","1","0","0","0%"
"03-29-2025","devilsreserve","","","","","","","0","141,926","153,025","12","11","1","0","0","0","0.01%"
"03-30-2025","devilsreserve","","","","","","","1","141,156","159,826","8","7","0","1","0","0","0.01%"
"03-31-2025","devilsreserve","","","","","","","2","104,324","121,138","9","8","1","0","0","0","0.01%"
"04-01-2025","devilsreserve","","","","","","","2","10,041","8,720","18","15","2","1","0","0","0.18%"
"04-02-2025","devilsreserve","630","5","5","0","","","2","9,191","7,979","25","20","0","5","0","0","0.27%"
"04-03-2025","devilsreserve","634","4","4","0","","","2","8,522","7,301","41","32","3","5","1","0","0.48%"
"04-04-2025","devilsreserve","641","7","7","0","","","1","2,520","1,818","34","29","1","4","0","0","1.35%"
"04-05-2025","devilsreserve","645","4","4","0","","","0","345","162","38","33","1","4","0","0","11.01%"
