"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Reels Skip Rate","Crossposted Reels Views","Facebook Reels Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Tags"
"3/24/2026 12:26 am","18084347948607596","Instagram","Post","Carousel","devilsreserve","Estefanie Marmolejo","https://www.instagram.com/p/DWQPQAvjEWd/","Smiles on. Halos off.
Every occasion hit different with Devil’s Reserve 🔥😈

Check out our link in bio for DR recipes and more!",,"439","439","","196","196","","","3.64%","16","15","15","","","","","","","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/21/2026 12:32 pm","18094055045037826","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3857842927511397224","",,"155","155","","107","107","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","45","67","0","","","","",""
"3/21/2026 12:31 pm","18213482758319436","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3857842735588435976","",,"160","160","","109","109","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","93","7","0","","","","",""
"3/21/2026 12:31 pm","18319193488271856","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3857842533171268488","",,"199","199","","127","127","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","122","25","0","","","","",""
"3/20/2026 1:24 pm","18109488421692203","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3857120707889675733","",,"234","234","","193","193","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","72","118","0","","","","",""
"3/20/2026 12:34 pm","17938104747183287","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3857119444724738706","",,"262","262","","217","217","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","191","27","0","","","","",""
"3/20/2026 12:34 pm","18111937063706814","Instagram","Story","Photo","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3857119238339789829","",,"279","279","","222","222","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","222","9","0","","","","",""
"3/20/2026 12:34 pm","18075856967393787","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3857119157196800687","",,"315","315","","237","237","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","220","7","0","","","","",""
"3/20/2026 12:33 pm","18403618633180027","Instagram","Reel","Video","devilsreserve"," ","https://www.instagram.com/reel/DWHPIP-Ef1s/","Something devilish is happening… 😈

Pineapple + Jalapeno + YOU! 🔥 The Devil pulled up and spring break got a little more chaotic! Grab your crew and come make it a 3-way 🌶️🍍",,"1,950","1,950","","1,362","1,362","","","3.59%","70","43","43","","","","","","","3","23","1","","","","","","","","","1,950","1,950","0.58","1,955","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/19/2026 7:57 pm","18565620418011845","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3856617669357809169","",,"831","831","","583","583","","","0.12%","1","","","","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113","186","431","0","","","","",""
"3/19/2026 5:38 pm","17915025936141783","Instagram","Story","Photo","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3856547632919981129","",,"1,208","1,208","","798","798","","","0.08%","1","","","","","","","","","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159","623","282","1","","","","",""
"3/19/2026 5:38 pm","17942504709000000","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3856547533036830529","",,"1,193","1,193","","811","811","","","0.08%","1","","","","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","152","581","23","0","","","","",""
"3/19/2026 5:17 pm","18353518819224776","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3856537084203477253","'@annikachristy @hannah.montoya @itgirl",,"1,904","1,904","","1,301","1,301","","","0.05%","1","","","","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","131","767","39","0","","","","",""
"3/19/2026 5:17 pm","18333414775172863","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3856536812177667352","",,"1,235","1,235","","834","834","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","179","768","12","0","","","","",""
"3/19/2026 5:16 pm","18309947311276549","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3856536470190919878","'@itgirl @hannah.montoya @annikachristy",,"107,083","107,083","","86,601","86,601","","","0%","5","","","","","","","","","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","211","906","27","1","","","","",""
"3/19/2026 5:16 pm","17894545854285285","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3856536229697943728","'@annikachristy @hannah.montoya @itgirl",,"153,041","153,041","","99,454","99,454","","","0%","3","","","","","","","","","0","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117","964","11","0","","","","",""
"3/19/2026 4:27 pm","18156783022453188","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3856511921609083203","",,"1,309","1,309","","943","943","","","0.23%","3","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116","1,002","72","2","","","","",""
"3/19/2026 4:26 pm","18540473560067483","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3856511189266797289","",,"1,284","1,284","","912","912","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116","1,021","23","0","","","","",""
"3/19/2026 4:26 pm","18120928576720967","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3856511120790628285","",,"1,483","1,483","","1,000","1,000","","","0.13%","2","","","","","","","","","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","242","969","25","0","","","","",""
"3/19/2026 4:25 pm","18091287095147636","Instagram","Story","Photo","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3856510995070547991","",,"1,739","1,739","","990","990","","","0.46%","8","","","","","","","","","1","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","199","1,227","103","1","","","","",""
"3/19/2026 4:25 pm","17931411441054574","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3856510948874487647","",,"1,532","1,532","","1,005","1,005","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","151","1,176","19","0","","","","",""
"3/19/2026 4:25 pm","18002981330897353","Instagram","Story","Photo","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3856510911511619378","",,"1,604","1,604","","1,016","1,016","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","273","1,242","14","0","","","","",""
"3/19/2026 4:25 pm","18063687032675657","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3856510865038767724","",,"1,903","1,903","","1,038","1,038","","","0.05%","1","","","","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","377","1,172","50","0","","","","",""
"3/19/2026 4:25 pm","18197238421343460","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3856510810001087163","",,"1,794","1,794","","1,053","1,053","","","0.11%","2","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","126","943","28","1","","","","",""
"3/19/2026 4:25 pm","18174261271388503","Instagram","Story","Photo","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3856510666950145296","",,"1,477","1,477","","1,078","1,078","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68","1,334","22","0","","","","",""
"3/19/2026 4:25 pm","17869250670590350","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3856510551472587458","",,"1,448","1,448","","1,095","1,095","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85","1,303","21","0","","","","",""
"3/19/2026 4:24 pm","18056953718439160","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3856510393733156585","",,"1,453","1,453","","1,102","1,102","","","0.07%","1","","","","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49","1,334","22","0","","","","",""
"3/19/2026 4:22 pm","17916705735329269","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3856509457262561923","",,"1,438","1,438","","1,133","1,133","","","0.07%","1","","","","","","","","","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","1,270","57","1","","","","",""
"3/15/2026 11:21 pm","18076846337632452","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3853820912500294584","",,"127","127","","112","112","","","0.79%","1","","","","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","48","13","0","","","","",""
"3/15/2026 11:21 pm","17919389253290604","Instagram","Story","Photo","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3853820820082985320","",,"81","81","","73","73","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","56","9","0","","","","",""
"3/11/2026 1:03 pm","17908512414186362","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3850610893932068219","",,"87","87","","72","72","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","42","20","0","","","","",""
"3/9/2026 5:37 pm","18057007325427715","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3849299416675642570","",,"53","53","","53","53","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","31","13","0","","","","",""
