"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Tags"
"2/28/2026 6:23 pm","18144452056470869","Instagram","Post","Carousel","devilsreserve","Estefanie Marmolejo","https://www.instagram.com/p/DVUeUzDDgxp/","Think you’ve got the aim (& ready to raise a little hell)?! Drop a 😈 if you’re playing the Devil’s way next race day!

At @nascar we weren’t just watching the action, we were the action with pineapple and jalapeno infused tequila 🌶️🍍",,"500","500","","214","214","","","6.8%","34","32","32","","","","","","","0","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/28/2026 6:23 pm","391065524084625_122198307302447934","Facebook","Post","Photo","Devil's Reserve","Estefanie Marmolejo","https://www.facebook.com/122157258710447934/posts/122198307302447934","Think you’ve got the aim (& ready to raise a little hell)?! Drop a 😈 if you’re playing the Devil’s way next race day!

At @nascar we weren’t just watching the action, we were the action with pineapple and jalapeno infused tequila 🌶️🍍","https://www.facebook.com/122157258710447934/posts/122198307302447934","5","5","0","4","4","0","","0%","0","0","0","","0","0","0","0","0","0","0","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/25/2026 4:37 pm","18316785943269112","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3840601879924031170","",,"116","116","","99","99","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","79","11","0","","","","",""
"2/20/2026 10:56 am","18037141970555991","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3836806614096087817","",,"99","99","","82","82","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","64","13","0","","","","",""
"2/19/2026 3:42 pm","18564920767023647","Instagram","Reel","Video","devilsreserve","Estefanie Marmolejo","https://www.instagram.com/reel/DU9Aq45EZdX/","The real reason the girlies take so long… they’re sharing Devil’s Reserve shots!

Send this to the girls group chat 🤩",,"95,424","95,424","","74,612","74,612","","","1.26%","1,205","873","873","","","","","","","16","71","245","","","","","","","","","95,424","95,424","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/19/2026 3:42 pm","391065524084625_122197085642447934","Facebook","Reel","Video","Devil's Reserve","Estefanie Marmolejo","https://www.facebook.com/reel/941175751692596/","The real reason the girlies take so long… they’re sharing Devil’s Reserve shots!

Send this to the girls group chat 🤩","https://www.facebook.com/reel/941175751692596/","159","159","0","142","","","","0%","0","0","0","","0","0","0","0","0","0","0","","","","","0","","","","","90","90","0","82","82","0","8","8","0","","","","","","","","","","","","","","","","","","5.15",""
"2/16/2026 11:48 am","391065524084625_122196759146447934","Facebook","Reel","Video","Devil's Reserve","Estefanie Marmolejo","https://www.facebook.com/reel/1567539004510401/","Main character behavior. Devilish intentions 😈🥂

Tag the friend that brings the devilish vibes to every function!","https://www.facebook.com/reel/1567539004510401/","11","11","0","11","","","","0%","0","0","0","","0","0","0","0","0","0","0","","","","","0","","","","","1","1","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","","","1.7",""
"2/16/2026 11:48 am","17865941493572307","Instagram","Reel","Video","devilsreserve","Estefanie Marmolejo","https://www.instagram.com/reel/DU03gpejqUo/","Main character behavior. Devilish intentions 😈🥂

Tag the friend that brings the devilish vibes to every function!",,"291","291","","369","369","","","3.78%","11","11","11","","","","","","","0","0","0","","","","","","","","","291","291","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/13/2026 3:38 pm","18091754081048954","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3831874726814378996","",,"102","102","","88","88","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","60","13","0","","","","",""
"2/13/2026 3:37 pm","17880995721462085","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3831874610992875450","",,"114","114","","102","102","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","58","9","0","","","","",""
