"Date","Network","Profile","Audience","Net Audience Growth","Audience Gained","Sent Messages (Total)","Published Posts (Total)","Received Messages (Total)","Impressions","Video Views","Engagements","Engagement Rate (per Impression)","Reactions","Comments","Shares","Post Link Clicks","Saves","Other Post Clicks","Other Engagements","Sent posts (X)","Sent Quotes (X)","Sent @Replies (X)","Sent Direct Messages (X)","Sent Posts (Facebook)","Sent Ad Posts (Facebook)","Sent Comments (Facebook)","Sent Ad Comments (Facebook)","Sent Private Messages (Facebook)","Sent Posts (Instagram)","Sent Stories (Instagram)","Sent Reels (Instagram)","Sent Comments (Instagram)","Sent Ad Comments (Instagram)","Sent Posts (Threads)","Sent Quotes (Threads)","Sent Comments (Threads)","Sent Posts (LinkedIn)","Sent Comments (LinkedIn)","Sent Direct Messages (LinkedIn)","Sent Videos (TikTok)","Sent Comments (TikTok)","Sent Pins (Pinterest)","Sent Saves (Pinterest)","Sent Videos (YouTube)","Received Mentions (X)","Received Direct Messages (X)","Received Reposts (X)","Received Quotes (X)","Received New Follower Alerts (X)","Received Wall Posts (Facebook)","Received Comments (Facebook)","Received Ad Comments (Facebook)","Received Private Messages (Facebook)","Received Comments (Instagram)","Received Ad Comments (Instagram)","Received Mentions (Instagram)","Received Media Tags (Instagram)","Received Posts (Threads)","Received Comments (Threads)","Received Comments (LinkedIn)","Received Direct Messages (LinkedIn)","Sent Direct Messages (Instagram)","Received Direct Messages (Instagram)","Received Comments (TikTok)"
"02-01-2025","Instagram","devilsreserve","","","","0","0","0","0","","0","0%","","0","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","0","0",""
"02-01-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"02-02-2025","Instagram","devilsreserve","","","","0","0","0","0","","0","0%","","0","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","0","0",""
"02-02-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"02-03-2025","Instagram","devilsreserve","","","","0","0","0","8","","0","0%","","0","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","0","0",""
"02-03-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"02-04-2025","Instagram","devilsreserve","","","","0","0","0","10","","0","0%","","0","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","0","0",""
"02-04-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"02-05-2025","Instagram","devilsreserve","","","","0","0","1","11","","0","0%","","0","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","1","","","","","0","0",""
"02-05-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"02-06-2025","Instagram","devilsreserve","","","","0","0","0","0","","0","0%","","0","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","0","0",""
"02-06-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"02-07-2025","Instagram","devilsreserve","","","","0","0","0","6","","0","0%","","0","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","0","0",""
"02-07-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"02-08-2025","Instagram","devilsreserve","","","","0","0","0","10","","0","0%","","0","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","0","0",""
"02-08-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"02-09-2025","Instagram","devilsreserve","","","","0","0","0","5","","0","0%","","0","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","0","0",""
"02-09-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"02-10-2025","Instagram","devilsreserve","","","","0","0","0","13","","0","0%","","0","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","0","0",""
"02-10-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"02-11-2025","Instagram","devilsreserve","","","","0","0","0","0","","0","0%","","0","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","0","0",""
"02-11-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"02-12-2025","Instagram","devilsreserve","","","","0","0","0","33","","0","0%","","0","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","0","0",""
"02-12-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"02-13-2025","Instagram","devilsreserve","","","","0","0","0","15","","0","0%","","0","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","0","0",""
"02-13-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"02-14-2025","Instagram","devilsreserve","","","","0","0","0","19","","0","0%","","0","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","0","0",""
"02-14-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"02-15-2025","Instagram","devilsreserve","","","","0","0","0","3","","0","0%","","0","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","0","0",""
"02-15-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"02-16-2025","Instagram","devilsreserve","","","","0","0","0","6","","0","0%","","0","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","0","0",""
"02-16-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"02-17-2025","Instagram","devilsreserve","","","","0","0","2","18","","0","0%","","0","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","2","","","","","0","0",""
"02-17-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"02-18-2025","Instagram","devilsreserve","","","","0","0","1","16","","0","0%","","0","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","1","","","","","0","0",""
"02-18-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"02-19-2025","Instagram","devilsreserve","","","","0","0","0","0","","0","0%","","0","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","0","0",""
"02-19-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"02-20-2025","Instagram","devilsreserve","","","","0","0","1","2","","0","0%","","0","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","1","","","","","0","0",""
"02-20-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"02-21-2025","Instagram","devilsreserve","","","","2","1","8","838","0","0","0%","0","0","0","","0","","","","","","","","","","","","0","0","1","1","0","","","","","","","","","","","","","","","","","","","","","7","0","0","1","","","","","0","0",""
"02-21-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"02-22-2025","Instagram","devilsreserve","","","","3","1","9","1,320","118","5","0.38%","3","1","1","","0","","","","","","","","","","","","0","0","1","2","0","","","","","","","","","","","","","","","","","","","","","9","0","0","0","","","","","0","0",""
"02-22-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"02-23-2025","Instagram","devilsreserve","","","","0","0","1","278","651","26","9.35%","15","3","8","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","1","","","","","0","0",""
"02-23-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"02-24-2025","Instagram","devilsreserve","","","","0","0","1","277","719","26","9.39%","19","3","4","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","1","","","","","0","0",""
"02-24-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"02-25-2025","Instagram","devilsreserve","","","","0","0","2","130","432","21","16.15%","12","3","5","","1","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","2","","","","","0","0",""
"02-25-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"02-26-2025","Instagram","devilsreserve","","","","0","0","0","239","297","13","5.44%","8","2","3","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","0","0",""
"02-26-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"02-27-2025","Instagram","devilsreserve","","","","2","1","3","346","221","9","2.6%","6","2","1","","0","","","","","","","","","","","","0","0","1","1","0","","","","","","","","","","","","","","","","","","","","","2","0","0","1","","","","","0","0",""
"02-27-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"02-28-2025","Instagram","devilsreserve","","","","0","0","1","451","294","10","2.22%","7","0","3","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","1","","","","","0","0",""
"02-28-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"03-01-2025","Instagram","devilsreserve","","","","1","1","4","477","564","16","3.35%","11","2","3","","0","","","","","","","","","","","","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","3","0","0","1","","","","","0","0",""
"03-01-2025","TikTok","'@devilsreserve","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"03-02-2025","Instagram","devilsreserve","","","","0","0","1","275","430","14","5.09%","10","2","2","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","1","0","0","0","","","","","0","0",""
"03-02-2025","TikTok","'@devilsreserve","","","","0","0","0","0","0","0","0%","0","0","0","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"03-03-2025","Instagram","devilsreserve","","","","0","0","1","296","538","16","5.41%","12","1","3","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","1","0","0","0","","","","","0","0",""
"03-03-2025","TikTok","'@devilsreserve","","","","0","0","0","0","0","0","0%","0","0","0","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"03-04-2025","Instagram","devilsreserve","","","","0","0","1","230","358","12","5.22%","9","2","1","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","1","0","0","0","","","","","0","0",""
"03-04-2025","TikTok","'@devilsreserve","","","","0","0","0","0","0","0","0%","0","0","0","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"03-05-2025","Instagram","devilsreserve","","","","0","0","0","53","267","10","18.87%","5","2","2","","1","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","0","0",""
