"Date","Network","Profile","Audience","Net Audience Growth","Audience Gained","Sent Messages (Total)","Published Posts (Total)","Received Messages (Total)","Impressions","Video Views","Engagements","Engagement Rate (per Impression)","Reactions","Comments","Shares","Post Link Clicks","Saves","Other Post Clicks","Other Engagements","Sent posts (X)","Sent Quotes (X)","Sent @Replies (X)","Sent Direct Messages (X)","Sent Posts (Facebook)","Sent Ad Posts (Facebook)","Sent Comments (Facebook)","Sent Ad Comments (Facebook)","Sent Private Messages (Facebook)","Sent Posts (Instagram)","Sent Stories (Instagram)","Sent Reels (Instagram)","Sent Comments (Instagram)","Sent Ad Comments (Instagram)","Sent Posts (Threads)","Sent Quotes (Threads)","Sent Comments (Threads)","Sent Posts (LinkedIn)","Sent Comments (LinkedIn)","Sent Direct Messages (LinkedIn)","Sent Videos (TikTok)","Sent Comments (TikTok)","Sent Pins (Pinterest)","Sent Saves (Pinterest)","Sent Videos (YouTube)","Received Mentions (X)","Received Direct Messages (X)","Received Reposts (X)","Received Quotes (X)","Received New Follower Alerts (X)","Received Wall Posts (Facebook)","Received Comments (Facebook)","Received Ad Comments (Facebook)","Received Private Messages (Facebook)","Received Comments (Instagram)","Received Ad Comments (Instagram)","Received Mentions (Instagram)","Received Media Tags (Instagram)","Received Posts (Threads)","Received Comments (Threads)","Received Comments (LinkedIn)","Received Direct Messages (LinkedIn)","Sent Direct Messages (Instagram)","Received Direct Messages (Instagram)","Received Comments (TikTok)"
"11-01-2025","Facebook","Devil's Reserve","174","2","","0","0","2","1,004,858","29,756","1","0%","0","0","0","0","","1","","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","2","0","0","","0","","","","","","","",""
"11-01-2025","Instagram","devilsreserve","1,768","17","18","19","19","67","674,200","292","158","0.02%","75","55","25","","2","","","","","","","","","","","","0","19","0","0","0","","","","","","","","","","","","","","","","","","","","","38","0","1","0","","","","","0","7",""
"11-01-2025","TikTok","'@devilsreserve","21","0","","0","0","0","25","25","0","0%","0","0","0","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"11-02-2025","Facebook","Devil's Reserve","174","0","","0","0","0","1,014,249","31,929","1","0%","0","0","1","0","","0","","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"11-02-2025","Instagram","devilsreserve","1,820","52","52","0","0","167","642,176","183","89","0.01%","43","46","0","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","163","0","1","0","","","","","0","2",""
"11-02-2025","TikTok","'@devilsreserve","21","0","","0","0","0","3","3","1","33.33%","1","0","0","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"11-03-2025","Facebook","Devil's Reserve","177","3","","0","0","3","883,338","29,903","0","0%","0","0","0","0","","0","","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","3","0","0","","0","","","","","","","",""
"11-03-2025","Instagram","devilsreserve","1,906","86","86","0","0","350","537,038","266","361","0.07%","153","196","8","","4","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","342","0","2","2","","","","","0","4",""
"11-03-2025","TikTok","'@devilsreserve","21","0","","0","0","0","3","3","0","0%","0","0","0","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"11-04-2025","Facebook","Devil's Reserve","177","0","","0","0","3","871,950","32,454","2","0%","1","0","0","0","","1","","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","2","0","1","0","0","","0","","","","","","","",""
