"Date","TikTok Profiles","Published Posts","Net Follower Growth","Followers","Video Views","Impressions","Engagements","Engagement Rate (per Impression)","Likes","Comments","Shares","Profile Views"
"02-01-2025","'@devilsreserve","0","","","","","","","","","",""
"02-02-2025","'@devilsreserve","0","","","","","","","","","",""
"02-03-2025","'@devilsreserve","0","","","","","","","","","",""
"02-04-2025","'@devilsreserve","0","","","","","","","","","",""
"02-05-2025","'@devilsreserve","0","","","","","","","","","",""
"02-06-2025","'@devilsreserve","0","","","","","","","","","",""
"02-07-2025","'@devilsreserve","0","","","","","","","","","",""
"02-08-2025","'@devilsreserve","0","","","","","","","","","",""
"02-09-2025","'@devilsreserve","0","","","","","","","","","",""
"02-10-2025","'@devilsreserve","0","","","","","","","","","",""
"02-11-2025","'@devilsreserve","0","","","","","","","","","",""
"02-12-2025","'@devilsreserve","0","","","","","","","","","",""
"02-13-2025","'@devilsreserve","0","","","","","","","","","",""
"02-14-2025","'@devilsreserve","0","","","","","","","","","",""
"02-15-2025","'@devilsreserve","0","","","","","","","","","",""
"02-16-2025","'@devilsreserve","0","","","","","","","","","",""
"02-17-2025","'@devilsreserve","0","","","","","","","","","",""
"02-18-2025","'@devilsreserve","0","","","","","","","","","",""
"02-19-2025","'@devilsreserve","0","","","","","","","","","",""
"02-20-2025","'@devilsreserve","0","","","","","","","","","",""
"02-21-2025","'@devilsreserve","0","","","","","","","","","",""
"02-22-2025","'@devilsreserve","0","","","","","","","","","",""
"02-23-2025","'@devilsreserve","0","","","","","","","","","",""
"02-24-2025","'@devilsreserve","0","","","","","","","","","",""
"02-25-2025","'@devilsreserve","0","","","","","","","","","",""
"02-26-2025","'@devilsreserve","0","","","","","","","","","",""
"02-27-2025","'@devilsreserve","0","","","","","","","","","",""
"02-28-2025","'@devilsreserve","0","","","","","","","","","",""
"03-01-2025","'@devilsreserve","0","","","","","","","","","",""
"03-02-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-03-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-04-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-05-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-06-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-07-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-08-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-09-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-10-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-11-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-12-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-13-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-14-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-15-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-16-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-17-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-18-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-19-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-20-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-21-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-22-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-23-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-24-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-25-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-26-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-27-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-28-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-29-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-30-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"03-31-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
"04-01-2025","'@devilsreserve","0","","","0","0","0","0%","0","0","0","0"
