"Date","TikTok Profiles","Published Posts","Net Follower Growth","Followers","Video Views","Impressions","Engagements","Engagement Rate (per Impression)","Likes","Comments","Shares","Profile Views"
"11-01-2025","'@devilsreserve","0","0","21","25","25","0","0%","0","0","0","3"
"11-02-2025","'@devilsreserve","0","0","21","3","3","1","33.33%","1","0","0","0"
"11-03-2025","'@devilsreserve","0","0","21","3","3","0","0%","0","0","0","0"
"11-04-2025","'@devilsreserve","0","0","21","12","12","0","0%","0","0","0","0"
"11-05-2025","'@devilsreserve","0","0","21","0","0","0","0%","0","0","0","0"
"11-06-2025","'@devilsreserve","0","1","22","5","5","0","0%","0","0","0","0"
"11-07-2025","'@devilsreserve","0","0","22","24","24","0","0%","0","0","0","0"
"11-08-2025","'@devilsreserve","0","0","22","25","25","3","12%","0","0","3","2"
"11-09-2025","'@devilsreserve","0","0","22","4","4","0","0%","0","0","0","0"
"11-10-2025","'@devilsreserve","0","0","22","8","8","0","0%","0","0","0","0"
"11-11-2025","'@devilsreserve","0","0","22","18","18","0","0%","0","0","0","1"
"11-12-2025","'@devilsreserve","0","1","23","5","5","0","0%","0","0","0","0"
"11-13-2025","'@devilsreserve","1","0","23","112","112","3","2.68%","3","0","0","0"
"11-14-2025","'@devilsreserve","0","0","23","44","44","0","0%","0","0","0","1"
"11-15-2025","'@devilsreserve","0","0","23","15","15","1","6.67%","1","0","0","1"
"11-16-2025","'@devilsreserve","0","0","23","33","33","0","0%","0","0","0","0"
"11-17-2025","'@devilsreserve","1","0","23","101","101","1","0.99%","1","0","0","2"
"11-18-2025","'@devilsreserve","0","0","23","27","27","3","11.11%","3","0","0","0"
"11-19-2025","'@devilsreserve","0","0","23","2","2","0","0%","0","0","0","0"
"11-20-2025","'@devilsreserve","0","0","23","28","28","4","14.29%","1","3","0","2"
"11-21-2025","'@devilsreserve","1","0","23","295","295","18","6.1%","18","0","0","6"
"11-22-2025","'@devilsreserve","0","0","23","15","15","1","6.67%","1","0","0","1"
"11-23-2025","'@devilsreserve","0","0","23","36","36","1","2.78%","1","0","0","3"
"11-24-2025","'@devilsreserve","0","1","24","10","10","0","0%","0","0","0","3"
"11-25-2025","'@devilsreserve","0","0","24","23","23","2","8.7%","2","0","0","1"
"11-26-2025","'@devilsreserve","0","0","24","4","4","0","0%","0","0","0","0"
"11-27-2025","'@devilsreserve","0","0","24","15","15","0","0%","0","0","0","0"
"11-28-2025","'@devilsreserve","1","0","24","108","108","4","3.7%","4","0","0","0"
"11-29-2025","'@devilsreserve","0","0","24","65","65","2","3.08%","1","0","1","1"
"11-30-2025","'@devilsreserve","0","0","24","26","26","0","0%","0","0","0","0"
"12-01-2025","'@devilsreserve","0","0","24","8","8","1","12.5%","1","0","0","0"
"12-02-2025","'@devilsreserve","0","0","24","16","16","0","0%","0","0","0","4"
"12-03-2025","'@devilsreserve","0","0","24","7","7","0","0%","0","0","0","1"
"12-04-2025","'@devilsreserve","1","0","24","305","305","11","3.61%","11","0","0","4"
