brand,platform,post_date,post_type,post_url,content_pillar,content_mix_funnel,collaboration,likes,comments,shares,saves,views,caption_text,hashtags,post_time,video_length_seconds,impressions,total_engagement,caption_word_count,creator_handle,has_creator_collab,is_paid_partnership
Devils Reserve,Instagram,2025-02-21,Reel,https://www.instagram.com/reel/DGWkDJoRloR/,The Sweet Heat,,Devils Reserve,42,9,22,0,"1,924",who’s ready to dance with the devil this weekend? #raisealittlehell,,2/21/2025 6:03 pm,,"1,924",73,10.0,,,
Devils Reserve,Instagram,2025-02-22,Reel,https://www.instagram.com/reel/DGYfmGKRqW2/,The Sweet Heat,,Devils Reserve,50,10,9,3,"1,664",The Diablito on our shoulder wishes you a Happy National Margarita Day!,,2/22/2025 12:01 pm,,"1,664",72,12.0,,,
Devils Reserve,Instagram,2025-02-27,Reel,https://www.instagram.com/reel/DGmAv1Cx0Wg/,The Diablito Made Me Do It,,Devils Reserve,32,4,9,0,"1,620","One sip closer to the weekend, listen to the devil on your shoulder 😈",,2/27/2025 6:00 pm,,"1,620",45,14.0,,,
Devils Reserve,Instagram,2025-03-01,Reel,https://www.instagram.com/reel/DGrKUwLRGNC/,The Diablito Made Me Do It,,Devils Reserve,23,5,3,0,"1,111",the devils in the details… and in your glass 😈,,3/1/2025 6:00 pm,,"1,111",31,10.0,,,
Devils Reserve,Instagram,2025-03-12,Carousel,https://www.instagram.com/p/DHG94CcoUxq/?img_index=1,The Sweet Heat,,Partner,175,28,17,14,0,"Two cocktails. One legendary infused tequila.🔥 Introducing The Devil’s Duo cocktail kit–crafted for those who like their drinks smooth and spicy. Featuring @devilsreserve, this kit brings the heat with The Devil of Hell’s Kitchen, a fiery strawberry cocktail that’s as daring as its namesake, and Shot of Red, where watermelon juice meets a spicy chili rim for a devilishly delicious kick. Plus, each kit includes limited-edition devil horn glasses, because every hero deserves to sip in style. Are you ready to take the dare? Order now and catch @Marvel Television’s @Daredevil: Born Again, now streaming on @disneyplus. #DaredevilBornAgain #CocktailCourier #DevilsReserve #JoseCuervo",,,,,234,101.0,,,
Devils Reserve,Instagram,2025-03-13,Carousel,https://www.instagram.com/p/DHJ9BdFRf_K/,The Diablito Made Me Do It,,Devils Reserve,30,5,0,0,0,"a little mischief, a lot of flavor. who’s in?",,3/13/2025 6:00 pm,,"1,483",35,9.0,,,
Devils Reserve,Instagram,2025-03-14,Reel,https://www.instagram.com/reel/DHMa6elxrOJ/,The Devil's Advocate,,Devils Reserve,51,4,8,5,"2,223",celebrate a great annual review with the devil 😈 #FridayBeers,,3/14/2025 5:00 pm,,"2,223",68,10.0,,,
Devils Reserve,Instagram,2025-03-17,Carousel,https://www.instagram.com/p/DHUJSwpRw0a/,The Diablito Made Me Do It,,Devils Reserve,40,3,0,2,0,"skip the green beer. this year, celebrate with something devilishly delicious",,3/17/2025 5:00 pm,,"2,151",45,11.0,,,
Devils Reserve,Instagram,2025-03-20,Carousel,https://www.instagram.com/p/DHbS_91uqcJ/?img_index=1,The Sweet Heat,,Partner,65,7,1,10,0,"🔥 Not all tequila is created equal. @devilsreserve is a sweet, spicy, and tropical infused tequila—the perfect match for these devilishly delicious drinks. Order the exclusive Devil’s Duo cocktail kit for your watch party and enjoy @Marvel Television’s @Daredevil: Born Again, now streaming on @disneyplus. @marvelstudios #DaredevilBornAgain #CocktailCourier #DevilsReserve #JoseCuervo",,,,,83,50.0,,,
Devils Reserve,Instagram,2025-03-27,Reel,https://www.instagram.com/reel/DHuIfdcxsoU/,The Devil's Advocate,,Devils Reserve,36,3,2,0,"1,232",devilishly good…who else agrees? our friends at Friday Beers do!,,3/27/2025 7:23 pm,,"1,232",41,10.0,,,
Devils Reserve,Instagram,2025-03-30,Reel,https://www.instagram.com/reel/DH1FRmHxh3_/,The Devil's Advocate,,Devils Reserve,37,3,2,1,"1,225",heaven? why would we wanna go there? #fridaybeers,,3/30/2025 12:00 pm,,"1,225",43,8.0,,,
Devils Reserve,Instagram,2025-03-31,Carousel,https://www.instagram.com/p/DH4m5RPRzY0/,The Diablito Made Me Do It,,Devils Reserve,39,3,3,3,0,your crew + devils reserve = a devilishly good time 😈,,3/31/2025 8:51 pm,,"1,459",48,11.0,,,
Devils Reserve,Instagram,2025-03-31,Reel,https://www.instagram.com/reel/DH3poaHRYwT/,The Sweet Heat,,Devils Reserve,26,2,18,1,"3,191","bring out the limes and the soda water, we’re making a Devil’s Soda 😈",,3/31/2025 11:57 am,,"3,191",47,14.0,,,
Devils Reserve,Instagram,2025-04-01,Static Image,https://www.instagram.com/p/DH6xOcXxfeJ/,The Devil's Advocate,,Devils Reserve,25,0,4,1,0,caught in the moment 😈,,4/1/2025 5:00 pm,,"1,292",30,5.0,,,
Devils Reserve,Instagram,2025-04-01,Static Image,https://www.instagram.com/p/DH6UOPIRSw_/,The Sweet Heat,,Devils Reserve,22,0,3,2,0,this one’s for the memories 😈,,4/1/2025 12:47 pm,,"1,160",27,6.0,,,
Devils Reserve,Instagram,2025-04-02,Static Image,https://www.instagram.com/p/DH9vMmKRyk7/,The Diablito Made Me Do It,,Devils Reserve,32,4,3,0,0,warning: may cause spontaneous fun and a devilishly good time 😈,,4/2/2025 8:40 pm,,"1,587",39,11.0,,,
Devils Reserve,Instagram,2025-04-02,Static Image,https://www.instagram.com/p/DH84o_GxryQ/,The Diablito Made Me Do It,,Devils Reserve,19,0,0,0,0,serving looks and pouring trouble 😈,,4/2/2025 12:43 pm,,"1,135",19,6.0,,,
Devils Reserve,Instagram,2025-04-03,Static Image,https://www.instagram.com/p/DIAQJshxX2D/,The Sweet Heat,,Devils Reserve,18,0,2,0,0,grab the gang and let’s have a weekend! 😈,,4/3/2025 8:06 pm,,"1,255",20,9.0,,,
Devils Reserve,Instagram,2025-04-03,Static Image,https://www.instagram.com/p/DH_mFD4xLxu/,The Diablito Made Me Do It,,Devils Reserve,31,0,10,1,0,made a deal with the devil and it tasted like a devil’s soda 😈,,4/3/2025 1:59 pm,,"1,623",42,14.0,,,
Devils Reserve,Instagram,2025-04-04,Static Image,https://www.instagram.com/p/DICaiiGRSeK/,The Sweet Heat,,Devils Reserve,28,2,5,2,0,"a touch of citrus, a whole lot of mischief 😈",,4/4/2025 4:16 pm,,"1,478",37,10.0,,,
Devils Reserve,Instagram,2025-04-07,Static Image,https://www.instagram.com/p/DIKbhZ7Ru9y/,Hell on Wheels,,Devils Reserve,25,0,2,1,0,tell your cab driver I said bye because I’m rolling with the devil tonight 😈,,4/7/2025 6:58 pm,,"1,330",28,15.0,,,
Devils Reserve,Instagram,2025-04-08,Reel,https://www.instagram.com/reel/DIMcLGURVO9/,The Diablito Made Me Do It,,Devils Reserve,42,13,50,3,"1,054","The Devil took over Spring Break and brought the 🔥 with him. Devil’s Reserve was flowing, the beats were bumping, and the mischief w/ @stfuandparty ? Unmatched 😈

#devilsreserve #springbreak2025 #stfuandparty #springbreakrecap #bahamas #tequila",,4/8/2025 1:45 pm,,"1,054",108,34.0,,,
Devils Reserve,Instagram,2025-04-09,Static Image,https://www.instagram.com/p/DIPsUO7x3UA/,The Sweet Heat,,Devils Reserve,28,3,4,3,0,"wednesday’s are for a devil’s sunrise, am I right?",,4/9/2025 8:01 pm,,"1,326",38,9.0,,,
Devils Reserve,Instagram,2025-04-17,Reel,https://www.instagram.com/reel/DIkInlsToY1/,The Diablito Made Me Do It,,Devils Reserve,41,2,12,2,"1,648","We hit Breakaway Dallas with bold beats and even bolder energy 🔥😈

If you felt the heat… that was us. Devil’s Reserve doesn’t do chill.

🎥: @kursza 
🎉: @breakaway 

#devilsreserve #festivalszn #breakaway #raisealittlehell #festivalheat #dallas",,4/17/2025 6:40 pm,,"1,648",57,35.0,,,
Devils Reserve,Instagram,2025-04-25,Carousel,https://www.instagram.com/p/DI4NEfCxYk4/,The Diablito Made Me Do It,,Devils Reserve,33,3,0,1,0,"The Devil doesn’t do ordinary, and neither do we. 😈

3 shots, 1 hell of a night at @breakaway 🔥

@kursza 

#devilsreserve #breakawayfest #raisehell #shotskishenanigans",,4/25/2025 1:37 pm,,"1,466",37,25.0,,,
Devils Reserve,Instagram,2025-04-27,Carousel,https://www.instagram.com/p/DI89xy7R-nU/,The Diablito Made Me Do It,,Devils Reserve,43,4,3,1,0,"Warning: Side effects may include wild nights, loud laughs, and unforgettable memories. 🔥

Devil’s Reserve is not for the faint of fun.

#devilsreserve #hellraisersunite #noregretsjustshots #tequilatime",,4/27/2025 10:00 am,,"1,548",51,26.0,,,
Devils Reserve,Instagram,2025-04-29,Carousel,https://www.instagram.com/p/DJC0aukRjLe/,The Diablito Made Me Do It,,Devils Reserve,69,13,7,4,0,"There’s tequila... and then there’s Devil’s Reserve.
Crafted for the bold. Poured for the ones who know how to turn it all the way up.

If you know, you know 😈

#devilsreserve #tequilatime #shotoclock #hellofagoodtime",,4/29/2025 4:33 pm,,"2,125",93,35.0,,,
Devils Reserve,Instagram,2025-05-01,Reel,https://www.instagram.com/reel/DJHkqyWIQLI/,The Sweet Heat,,Devils Reserve,34,7,15,4,"1,543","This ain’t your average marg 🌶️

The Diablito Margarita is sweet, spicy, tropical, and just dangerous enough to call on the Devil himself!

#devilsreserve #diablitomargarita #raisehell #tequila #mischiefinaglass",,5/1/2025 12:52 pm,,"1,543",60,28.0,,,
Devils Reserve,Instagram,2025-05-01,Carousel,https://www.instagram.com/p/DJIMDBFNc3m/?img_index=1,The Diablito Made Me Do It,,Influencer,645,58,19,44,0,@devilsreserve at @breakawaytampa ❤️‍🔥 outfit: @suspexravewear @kritterklips @lovettexpressions <3,,,,,766,9.0,,,
Devils Reserve,Instagram,2025-05-03,Reel,https://www.instagram.com/reel/DJMf4-xtY15/,The Devil's Advocate,,Devils Reserve,49,1,33,5,"3,542","The seasons change, but the party in hell? Eternal 🔥
Devil’s Reserve and @friday.beers brought the heat—did you survive the chaos?

@stillwell
@liamcullagh_
@chetcollins_

#devilsreserve #fridaybeers #hellraisers #shotoclock",,5/3/2025 10:47 am,,"3,542",88,28.0,,,
Devils Reserve,Instagram,2025-05-05,Reel,https://www.instagram.com/reel/DJRpjWvupAg/,The Sweet Heat,,Devils Reserve,55,14,32,7,"1,972","Not your average spirit… because the Devil doesn’t do average. 🔥

#DevilsReserve #SpicyTequila #ForTheBoldOnly #ChaosServedChilled",,5/5/2025 10:47 am,,"1,972",108,15.0,,,
Devils Reserve,Instagram,2025-05-09,Reel,https://www.instagram.com/reel/DJcGEbZCbCI/,The Diablito Made Me Do It,,Devils Reserve,20,4,4,0,"1,071","The Devil’s watching 👀
You didn’t think he’d throw a party and miss it, did you?

#devilsreserve #hellraisersonly #mischiefincoming #drinkwiththedevil",,5/9/2025 12:10 pm,,"1,071",28,20.0,,,
Devils Reserve,Instagram,2025-05-11,Carousel,https://www.instagram.com/p/DJhW5HSNgas/,The Diablito Made Me Do It,,Devils Reserve,34,4,1,1,0,"The pour that starts the party—and summons a little hell 🔥

#devilsreserve #raisealittlehell #shotskiseason #drinkifyoudare",,5/11/2025 1:12 pm,,"1,859",40,15.0,,,
Devils Reserve,Instagram,2025-05-26,Carousel,https://www.instagram.com/p/DKHwoB7tVpb/,The Diablito Made Me Do It,,Devils Reserve,37,5,5,0,0,"Toss your halo, take the shot, and join the dark side 😈

Breakaway has a taste of Devil’s Reserve, and let’s just say the angel behavior didn’t last long.

⬇️Tag the friend who’s always first in line for the chaos.

#devilsreserve #breakaway #raisealittlehell #cuervoenergy #festivals @breakaway @kursza",,5/26/2025 11:08 am,,"1,743",47,47.0,,,
Devils Reserve,Instagram,2025-05-28,Carousel,https://www.instagram.com/p/DKNWKaFT7Dd/,The Diablito Made Me Do It,,Devils Reserve,25,2,0,0,0,"Friday night plans: activated 🔥

Devil’s Reserve in hand, boys locked in, and the chaos officially underway!
Tag your crew ⬇️ next round’s on us!

#devilsreserve #fridaynightenergy #tequila #raisealittlehell #fun #shotseason",,5/28/2025 3:12 pm,,"1,371",27,31.0,,,
Devils Reserve,Instagram,2025-05-30,Carousel,https://www.instagram.com/p/DKSEJv0z1TJ/,The Diablito Made Me Do It,,Devils Reserve,39,4,2,1,0,"Festivals hit harder when Devil’s Reserve is in the mix 😈🎶

If you see us out there, don’t just walk by... Come raise a little hell, take the shot, and make a memory you probably won’t forget.

📍If you snap a pic with Devil’s Reserve, tag us so we can share!

#devilsreserve #festivals #raisealittlehell #shotseason @breakaway @kursza",,5/30/2025 11:11 am,,"1,703",46,57.0,,,
