"Date","Network","Profile","Audience","Net Audience Growth","Published Posts","Public Engagements","Public Engagements per Post","% Audience Growth","Published Carousels","Published Videos","Published Photos","Published Links","Published Text","Reactions","Comments","Shares","Top Hashtags by Lifetime Public Engagements"
"01-01-2026","Facebook","Jose Cuervo","841,466","-13","0","0","0","-0.0015%","","0","0","0","0","0","0","0",""
"01-01-2026","Instagram","josecuervotequila","111,893","-1","0","0","0","-0.0009%","","0","0","0","0","0","0","0",""
"01-01-2026","Instagram","1800tequila","","","","","","","","","","","","","","",""
"01-01-2026","Instagram","casamigos","294,196","42","0","0","0","0.0143%","0","0","0","0","0","0","0","0",""
"01-01-2026","Instagram","donjuliotequila","","","","","","","","","","","","","","",""
"01-01-2026","Instagram","drink818","1,191,158","126","0","0","0","0.0106%","0","0","0","0","0","0","0","0",""
"01-01-2026","Instagram","espolontequila","65,592","13","0","0","0","0.0198%","0","0","0","0","0","0","0","0",""
"01-01-2026","Instagram","patron","436,906","-6","0","0","0","-0.0014%","0","0","0","0","0","0","0","0",""
"01-01-2026","Instagram","teremana","776,173","-59","0","0","0","-0.0076%","0","0","0","0","0","0","0","0",""
"01-02-2026","Facebook","Jose Cuervo","841,451","-15","0","0","0","-0.0018%","","0","0","0","0","0","0","0",""
"01-02-2026","Instagram","josecuervotequila","111,872","-21","0","0","0","-0.0188%","","0","0","0","0","0","0","0",""
"01-02-2026","Instagram","1800tequila","","","","","","","","","","","","","","",""
"01-02-2026","Instagram","casamigos","294,131","-65","0","0","0","-0.0221%","0","0","0","0","0","0","0","0",""
"01-02-2026","Instagram","donjuliotequila","","","","","","","","","","","","","","",""
"01-02-2026","Instagram","drink818","1,190,925","-233","0","0","0","-0.0196%","0","0","0","0","0","0","0","0",""
"01-02-2026","Instagram","espolontequila","65,579","-13","0","0","0","-0.0198%","0","0","0","0","0","0","0","0",""
"01-02-2026","Instagram","patron","436,786","-120","1","788","788","-0.0275%","1","0","0","0","0","776","12","0","#PATRONTequila, #PATRONMargarita"
"01-02-2026","Instagram","teremana","775,988","-185","0","0","0","-0.0238%","0","0","0","0","0","0","0","0",""
"01-03-2026","Facebook","Jose Cuervo","841,439","-12","0","0","0","-0.0014%","","0","0","0","0","0","0","0",""
"01-03-2026","Instagram","josecuervotequila","111,855","-17","0","0","0","-0.0152%","","0","0","0","0","0","0","0",""
