"Date","Network","Profile","Audience","Net Audience Growth","Published Posts","Public Engagements","Public Engagements per Post","% Audience Growth","Published Carousels","Published Videos","Published Photos","Published Links","Published Text","Reactions","Comments","Shares","Top Hashtags by Lifetime Public Engagements"
"10-01-2025","Facebook","Jose Cuervo","844,210","-44","0","0","0","-0.0052%","","0","0","0","0","0","0","0",""
"10-01-2025","Instagram","josecuervotequila","110,933","6","0","0","0","0.0054%","","0","0","0","0","0","0","0",""
"10-01-2025","Instagram","chipotle","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-01-2025","Instagram","drinkpoppi","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-01-2025","Instagram","dunkin","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-01-2025","Instagram","duolingo","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-01-2025","Instagram","elfcosmetics","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-02-2025","Facebook","Jose Cuervo","844,198","-12","1","9","9","-0.0014%","0","0","1","0","0","9","0","0",""
"10-02-2025","Instagram","josecuervotequila","110,930","-3","1","89","89","-0.0027%","1","0","0","0","0","86","3","3",""
"10-02-2025","Instagram","chipotle","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-02-2025","Instagram","drinkpoppi","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-02-2025","Instagram","dunkin","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-02-2025","Instagram","duolingo","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-02-2025","Instagram","elfcosmetics","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-03-2025","Facebook","Jose Cuervo","844,144","-54","0","0","0","-0.0064%","","0","0","0","0","0","0","0",""
"10-03-2025","Instagram","josecuervotequila","110,958","28","0","0","0","0.0252%","","0","0","0","0","0","0","0",""
"10-03-2025","Instagram","chipotle","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-03-2025","Instagram","drinkpoppi","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-03-2025","Instagram","dunkin","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-03-2025","Instagram","duolingo","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-03-2025","Instagram","elfcosmetics","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-04-2025","Facebook","Jose Cuervo","844,104","-40","1","14","14","-0.0047%","0","1","0","0","0","12","1","1",""
"10-04-2025","Instagram","josecuervotequila","110,977","19","1","76","76","0.0171%","0","1","0","0","0","71","5","9",""
"10-04-2025","Instagram","chipotle","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-04-2025","Instagram","drinkpoppi","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-04-2025","Instagram","dunkin","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-04-2025","Instagram","duolingo","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-04-2025","Instagram","elfcosmetics","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-05-2025","Facebook","Jose Cuervo","844,057","-47","0","0","0","-0.0056%","","0","0","0","0","0","0","0",""
"10-05-2025","Instagram","josecuervotequila","110,992","15","0","0","0","0.0135%","","0","0","0","0","0","0","0",""
"10-05-2025","Instagram","chipotle","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-05-2025","Instagram","drinkpoppi","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-05-2025","Instagram","dunkin","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-05-2025","Instagram","duolingo","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-05-2025","Instagram","elfcosmetics","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-06-2025","Facebook","Jose Cuervo","843,998","-59","1","3","3","-0.0070%","0","0","1","0","0","3","0","0",""
"10-06-2025","Instagram","josecuervotequila","111,016","24","1","85","85","0.0216%","1","0","0","0","0","85","0","5",""
"10-06-2025","Instagram","chipotle","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-06-2025","Instagram","drinkpoppi","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-06-2025","Instagram","dunkin","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-06-2025","Instagram","duolingo","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-06-2025","Instagram","elfcosmetics","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-07-2025","Facebook","Jose Cuervo","843,943","-55","0","0","0","-0.0065%","","0","0","0","0","0","0","0",""
"10-07-2025","Instagram","josecuervotequila","111,002","-14","1","80","80","-0.0126%","0","1","0","0","0","70","10","6","#thetequilathatinventedtequila, #NationalTacoDay"
"10-07-2025","Instagram","chipotle","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-07-2025","Instagram","drinkpoppi","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-07-2025","Instagram","dunkin","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-07-2025","Instagram","duolingo","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-07-2025","Instagram","elfcosmetics","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-08-2025","Facebook","Jose Cuervo","843,902","-41","1","6","6","-0.0049%","0","1","0","0","0","4","1","1",""
"10-08-2025","Instagram","josecuervotequila","111,013","11","1","94","94","0.0099%","0","1","0","0","0","88","6","9",""
"10-08-2025","Instagram","chipotle","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-08-2025","Instagram","drinkpoppi","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-08-2025","Instagram","dunkin","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-08-2025","Instagram","duolingo","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-08-2025","Instagram","elfcosmetics","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-09-2025","Facebook","Jose Cuervo","843,861","-41","0","0","0","-0.0049%","","0","0","0","0","0","0","0",""
"10-09-2025","Instagram","josecuervotequila","111,029","16","0","0","0","0.0144%","","0","0","0","0","0","0","0",""
"10-09-2025","Instagram","chipotle","","","0","0","0","","","0","0","0","0","0","0","0",""
