"Date","Network","Profile","Audience","Net Audience Growth","Published Posts","Public Engagements","Public Engagements per Post","% Audience Growth","Published Carousels","Published Videos","Published Photos","Published Links","Published Text","Reactions","Comments","Shares","Top Hashtags by Lifetime Public Engagements"
"10-01-2025","Facebook","Jose Cuervo","844,210","-44","0","0","0","-0.0052%","","0","0","0","0","0","0","0",""
"10-01-2025","Instagram","josecuervotequila","110,933","6","0","0","0","0.0054%","","0","0","0","0","0","0","0",""
"10-01-2025","Instagram","1800tequila","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-01-2025","Instagram","casamigos","289,732","-16","1","218","218","-0.0055%","0","1","0","0","0","210","8","0",""
"10-01-2025","Instagram","donjuliotequila","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-01-2025","Instagram","drink818","1,190,761","-145","1","3,919","3,919","-0.0122%","1","0","0","0","0","3,854","65","0",""
"10-01-2025","Instagram","espolontequila","63,910","65","0","0","0","0.1018%","0","0","0","0","0","0","0","0",""
"10-01-2025","Instagram","patron","430,697","107","0","0","0","0.0248%","0","0","0","0","0","0","0","0",""
"10-01-2025","Instagram","teremana","779,472","-91","0","0","0","-0.0117%","0","0","0","0","0","0","0","0",""
"10-02-2025","Facebook","Jose Cuervo","844,198","-12","1","9","9","-0.0014%","0","0","1","0","0","9","0","0",""
"10-02-2025","Instagram","josecuervotequila","110,930","-3","1","89","89","-0.0027%","1","0","0","0","0","86","3","3",""
"10-02-2025","Instagram","1800tequila","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-02-2025","Instagram","casamigos","289,705","-27","0","0","0","-0.0093%","0","0","0","0","0","0","0","0",""
"10-02-2025","Instagram","donjuliotequila","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-02-2025","Instagram","drink818","1,190,740","-21","1","1,054","1,054","-0.0018%","1","0","0","0","0","982","72","0",""
"10-02-2025","Instagram","espolontequila","63,948","38","0","0","0","0.0595%","0","0","0","0","0","0","0","0",""
"10-02-2025","Instagram","patron","430,691","-6","0","0","0","-0.0014%","0","0","0","0","0","0","0","0",""
"10-02-2025","Instagram","teremana","779,397","-75","0","0","0","-0.0096%","0","0","0","0","0","0","0","0",""
"10-03-2025","Facebook","Jose Cuervo","844,144","-54","0","0","0","-0.0064%","","0","0","0","0","0","0","0",""
"10-03-2025","Instagram","josecuervotequila","110,958","28","0","0","0","0.0252%","","0","0","0","0","0","0","0",""
"10-03-2025","Instagram","1800tequila","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-03-2025","Instagram","casamigos","289,690","-15","0","0","0","-0.0052%","0","0","0","0","0","0","0","0",""
"10-03-2025","Instagram","donjuliotequila","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-03-2025","Instagram","drink818","1,190,742","2","0","0","0","0.0002%","0","0","0","0","0","0","0","0",""
"10-03-2025","Instagram","espolontequila","63,981","33","0","0","0","0.0516%","0","0","0","0","0","0","0","0",""
"10-03-2025","Instagram","patron","430,705","14","1","233","233","0.0033%","0","1","0","0","0","224","9","0","#PATRONTequila, #AustinCityLimits"
"10-03-2025","Instagram","teremana","779,322","-75","1","3,064","3,064","-0.0096%","1","0","0","0","0","2,992","72","0",""
"10-04-2025","Facebook","Jose Cuervo","844,104","-40","1","14","14","-0.0047%","0","1","0","0","0","12","1","1",""
"10-04-2025","Instagram","josecuervotequila","110,977","19","1","76","76","0.0171%","0","1","0","0","0","71","5","9",""
"10-04-2025","Instagram","1800tequila","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-04-2025","Instagram","casamigos","289,654","-36","0","0","0","-0.0124%","0","0","0","0","0","0","0","0",""
"10-04-2025","Instagram","donjuliotequila","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-04-2025","Instagram","drink818","1,190,667","-75","0","0","0","-0.0063%","0","0","0","0","0","0","0","0",""
"10-04-2025","Instagram","espolontequila","64,019","38","0","0","0","0.0594%","0","0","0","0","0","0","0","0",""
"10-04-2025","Instagram","patron","430,731","26","0","0","0","0.0060%","0","0","0","0","0","0","0","0",""
"10-04-2025","Instagram","teremana","779,246","-76","0","0","0","-0.0098%","0","0","0","0","0","0","0","0",""
"10-05-2025","Facebook","Jose Cuervo","844,057","-47","0","0","0","-0.0056%","","0","0","0","0","0","0","0",""
"10-05-2025","Instagram","josecuervotequila","110,992","15","0","0","0","0.0135%","","0","0","0","0","0","0","0",""
"10-05-2025","Instagram","1800tequila","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-05-2025","Instagram","casamigos","289,637","-17","1","6","6","-0.0059%","0","1","0","0","0","0","6","0",""
"10-05-2025","Instagram","donjuliotequila","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-05-2025","Instagram","drink818","1,190,570","-97","1","493","493","-0.0081%","0","1","0","0","0","465","28","0",""
"10-05-2025","Instagram","espolontequila","64,046","27","0","0","0","0.0422%","0","0","0","0","0","0","0","0",""
"10-05-2025","Instagram","patron","430,768","37","0","0","0","0.0086%","0","0","0","0","0","0","0","0",""
"10-05-2025","Instagram","teremana","779,221","-25","0","0","0","-0.0032%","0","0","0","0","0","0","0","0",""
"10-06-2025","Facebook","Jose Cuervo","843,998","-59","1","3","3","-0.0070%","0","0","1","0","0","3","0","0",""
"10-06-2025","Instagram","josecuervotequila","111,016","24","1","85","85","0.0216%","1","0","0","0","0","85","0","5",""
"10-06-2025","Instagram","1800tequila","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-06-2025","Instagram","casamigos","289,628","-9","0","0","0","-0.0031%","0","0","0","0","0","0","0","0",""
"10-06-2025","Instagram","donjuliotequila","","","0","0","0","","","0","0","0","0","0","0","0",""
"10-06-2025","Instagram","drink818","1,190,447","-123","0","0","0","-0.0103%","0","0","0","0","0","0","0","0",""
"10-06-2025","Instagram","espolontequila","64,072","26","0","0","0","0.0406%","0","0","0","0","0","0","0","0",""
"10-06-2025","Instagram","patron","430,771","3","0","0","0","0.0007%","0","0","0","0","0","0","0","0",""
"10-06-2025","Instagram","teremana","779,183","-38","0","0","0","-0.0049%","0","0","0","0","0","0","0","0",""
