"Date","Post ID","Network","Post Type","Content Type","Profile","Link","Post","Linked Content","Public Engagements","Reactions","Comments","Shares"
"11/3/2025 3:00 pm","17929849404136125","Instagram","Post","Carousel","drink818","https://www.instagram.com/p/DQm2C2Mklsi/","Happy birthday to our founder kendalljenner 💚 Today we raise a glass to you!","","55,690","55,342","348",""
"12/13/2025 10:00 am","18085254881281765","Instagram","Reel","Video","drink818","https://www.instagram.com/reel/DSNThuHEtIH/","Outtakes from the Khloud holiday kitchen. Shop cinnamon roll now on khloudfoods.com (a holiday masterpiece that you don’t have to bake)","","55,076","54,781","295",""
"12/12/2025 10:00 am","18083816864115761","Instagram","Reel","Video","drink818","https://www.instagram.com/reel/DSKuuFXkkna/","A cozy classic reimagined: cinnamon-inspired 818 cocktails, sweet traditions, and the newest Khloud flavor makes its big debut in a very cinnamon special with Khloé & Kendall. Khloud Cinnamon Roll is here. Shop now at khloudfoods.com! ❤️🍿","","25,687","25,328","359",""
"11/23/2025 3:00 pm","18085398920058135","Instagram","Post","Carousel","drink818","https://www.instagram.com/p/DRaV6Obkgz9/","Race weekend🥂","","23,936","23,754","182",""
"1/20/2026 3:25 pm","18071410628529679","Instagram","Reel","Video","drink818","https://www.instagram.com/reel/DTvsTPpEkuZ/","The 818 + blankstreet Matcha Martini

Video by join_jules 
 
RECIPE:
- 2.0 OZ Matcha Infused Tequila
- 0.25 OZ Honey 
- 0.5 OZ Dry Vermouth

MATCHA INFUSION PREP:
1. Infuse 8 grams of Blank Street Matcha into the tequila bottle.
2. Seal the bottle and refrigerate for at least 2 hours.
3. Strain out the matcha before using the tequila for cocktail prep.

COCKTAIL PREP:
1. Fill a chilled coupe glass with ice and dry vermouth to coat the inside. Set aside.
2. In a mixing glass, combine Matcha-infused tequila and honey. Add ice and stir for 1 minute until well chilled.
3. Discard the ice and any excess vermouth from the coupe glass.
4. Place a large ice cube in the coupe using tongs. Lightly dust the cube with dry matcha powder using a matcha strainer.
5. Strain the chilled cocktail into the prepared coupe over the matcha-dusted ice cube.","","16,677","16,341","336",""
"10/11/2025 10:05 am","17854649322548559","Instagram","Reel","Video","drink818","https://www.instagram.com/reel/DPq-9uiDhqb/","Texas, we're here 🤠

Your perfect tailgate lineup: 818 and Uber Eats","","14,763","14,524","239",""
"10/12/2025 11:26 am","18060441506166693","Instagram","Post","Carousel","drink818","https://www.instagram.com/p/DPttMtGkerf/","Kenny's first tailgate","","12,569","12,396","173",""
"10/14/2025 2:54 pm","18082236535956633","Instagram","Reel","Video","drink818","https://www.instagram.com/reel/DPzOVfgks5W/","Highlights from Tailgate with 818💚

Where to next?

Video shot by harryhudson and nwiesner","","10,344","10,192","152",""
"10/19/2025 1:00 pm","18082991500812937","Instagram","Post","Carousel","drink818","https://www.instagram.com/p/DP_5e30kfvU/","Your new Saturday uniform is on its way","","8,502","8,204","298",""
"12/11/2025 10:00 am","18396390868192791","Instagram","Reel","Video","drink818","https://www.instagram.com/reel/DSIJ9kgFLT7/","Just in time for the holiday season... a cozy classic reimagined. Tune in tomorrow for Khloé and Kendall's holiday special, and the launch of Khloud's newest flavor, Cinnamon Roll! 🥂☁️","","5,811","5,649","162",""
"10/31/2025 1:31 pm","18084800461798458","Instagram","Post","Carousel","patron","https://www.instagram.com/p/DQe2ksZjhUW/","PATRÓN XO Cafe is back by popular demand. 

#PATRONTequila #PATRONXOCafe #Halloween","","4,758","4,595","163",""
"1/8/2026 3:00 pm","17854692420603713","Instagram","Post","Carousel","donjuliotequila","https://www.instagram.com/p/DTQygjVFMtE/","Don Julio 70 Añejo Cristalino just went mini. 100% Blue Weber Agave, now in a 50 mL pour.
.
.
Don Julio 70 Añejo Cristalino, ahora en versión mini. Todo el sabor del 100% agave azul Weber concentrado en un shot de 50 ml.","","4,234","4,119","115",""
"1/30/2026 5:30 pm","17992947563915333","Instagram","Reel","Video","patron","https://www.instagram.com/reel/DUJtHeClfGy/","The process, perfected. We collaborated with the legendary mustard to turn our cork pop into a musical masterpiece. The result? Simply perfect.

#PATRONxGRAMMYS","","4,075","4,017","58",""
"10/11/2025 2:27 pm","18084335866760524","Instagram","Post","Carousel","drink818","https://www.instagram.com/p/DPrdLcREWAi/","Wake up it's game day","","3,991","3,922","69",""
"10/1/2025 2:59 pm","18068999708588010","Instagram","Post","Carousel","drink818","https://www.instagram.com/p/DPRw3HFkq_Q/","Tailgate with 818 Powered by ubereats 

Saturday, October 11th, 9AM - 12PM at happiesthourdal 
 
Featuring 818 Tequila, games, and goodies from our friends setactive khloudfoods tower28beauty kyliecosmetics californianaturals waterboycan. Early bird tickets sold out, but join our Happy Hour Channel for exclusive updates closer to the event.","","3,919","3,854","65",""
"12/14/2025 10:00 am","18100871410762830","Instagram","Reel","Video","drink818","https://www.instagram.com/reel/DSNThL5kVaI/","Inspired by the new Khloud Cinnamon Roll popcorn, the Cinna Swirl cocktail is made with warm cinnamon and smooth reposado for a cocktail that feels like dessert reinvented. 

Video by yellowbellykelly 

RECIPE:
- 1.5.OZ Cinnamon-infused 818 Tequila Reposado
- 1 OZ Lemon Juice
- 0.5 OZ Maple Syrup
- 1 Egg White 
- Royal Icing and Cinnamon Sugar (for rim)
 PREP:
To make the Cinnamon-Infused Reposado:
1. Pour 1 cup of 818 Reposado into an airtight container with 4 cinnamon sticks.
2. Let sit at room temperature, shaking occasionally, for 4 hours. 
3. Strain out the cinnamon sticks.
 To make the cocktail:
1. Gently pipe the rim of an upside down rocks glass with royal icing. Sprinkle cinnamon sugar over the iced rim until covered. Let sit, upside down, in the freezer until ready to drink. 
2. Combine all cocktail ingredients in a shaker and dry shake vigorously. 
3. Add ice and shake until shaker tin is frosty. 
4. Fill the prepared rocks glass with a large ice cube. 
5. Strain the cocktail into the glass and garnish with a cinnamon stick!","","3,692","3,575","117",""
"12/29/2025 3:00 pm","18084122453515844","Instagram","Post","Carousel","drink818","https://www.instagram.com/p/DS3ClwCEjZl/","How we're ringing in the new year🥂","","3,550","3,473","77",""
"12/4/2025 3:00 pm","18062838602543576","Instagram","Post","Carousel","drink818","https://www.instagram.com/p/DR2qs4QErUp/","Warm from the inside out☕️

The 818 Peppermint Hot Chocolate: 

RECIPE:
- 3.5 OZ Hot Chocolate 
- 1.5 OZ 818 Tequila Reposado
- 0.5 OZ Peppermint Liqueur
- 0.5 OZ Coffee Liqueur
- Mini marshmallows + crushed candy canes for garnish

PREP:
1. Prepare hot chocolate per directions and pour into a heat-safe mug. 
2. Add the rest of the cocktail ingredients and gently stir to combine. 
3. Top with mini marshmallows and crushed candy canes!","","3,503","3,429","74",""
"11/22/2025 2:17 pm","18367641025082282","Instagram","Reel","Video","drink818","https://www.instagram.com/reel/DRXsFBFEsJH/","An 818 night out in Vegas🏁","","3,437","3,380","57",""
