"Date","Instagram Profile","Followers","Net Follower Growth","Published Posts & Reels","Public Engagements","Public Engagements per Post","% Follower Growth","Published Carousels","Published Videos","Published Photos","Likes","Comments","Top Hashtags by Lifetime Public Engagements"
"10-01-2025","josecuervotequila","110,933","6","0","0","0","0.0054%","","0","0","0","0",""
"10-01-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-01-2025","casamigos","289,732","-16","1","218","218","-0.0055%","0","1","0","210","8",""
"10-01-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-01-2025","drink818","1,190,761","-145","1","3,919","3,919","-0.0122%","1","0","0","3,854","65",""
"10-01-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-01-2025","espolontequila","63,910","65","0","0","0","0.1018%","0","0","0","0","0",""
"10-01-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-01-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-01-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-01-2025","patron","430,697","107","0","0","0","0.0248%","0","0","0","0","0",""
"10-01-2025","tequilacazadores","37,887","4","0","0","0","0.0106%","0","0","0","0","0",""
"10-01-2025","teremana","779,472","-91","0","0","0","-0.0117%","0","0","0","0","0",""
"10-02-2025","josecuervotequila","110,930","-3","1","89","89","-0.0027%","1","0","0","86","3",""
"10-02-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-02-2025","casamigos","289,705","-27","0","0","0","-0.0093%","0","0","0","0","0",""
"10-02-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-02-2025","drink818","1,190,740","-21","1","1,054","1,054","-0.0018%","1","0","0","982","72",""
"10-02-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-02-2025","espolontequila","63,948","38","0","0","0","0.0595%","0","0","0","0","0",""
"10-02-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-02-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-02-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-02-2025","patron","430,691","-6","0","0","0","-0.0014%","0","0","0","0","0",""
"10-02-2025","tequilacazadores","37,878","-9","0","0","0","-0.0238%","0","0","0","0","0",""
"10-02-2025","teremana","779,397","-75","0","0","0","-0.0096%","0","0","0","0","0",""
"10-03-2025","josecuervotequila","110,958","28","0","0","0","0.0252%","","0","0","0","0",""
"10-03-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-03-2025","casamigos","289,690","-15","0","0","0","-0.0052%","0","0","0","0","0",""
"10-03-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-03-2025","drink818","1,190,742","2","0","0","0","0.0002%","0","0","0","0","0",""
"10-03-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-03-2025","espolontequila","63,981","33","0","0","0","0.0516%","0","0","0","0","0",""
"10-03-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-03-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-03-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-03-2025","patron","430,705","14","1","233","233","0.0033%","0","1","0","224","9","#PATRONTequila, #AustinCityLimits"
"10-03-2025","tequilacazadores","37,886","8","1","72","72","0.0211%","0","1","0","66","6","#TequilaCAZADORES, #RealTequilaForRealPeople"
"10-03-2025","teremana","779,322","-75","1","3,065","3,065","-0.0096%","1","0","0","2,993","72",""
"10-04-2025","josecuervotequila","110,977","19","1","76","76","0.0171%","0","1","0","71","5",""
"10-04-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-04-2025","casamigos","289,654","-36","0","0","0","-0.0124%","0","0","0","0","0",""
"10-04-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-04-2025","drink818","1,190,667","-75","0","0","0","-0.0063%","0","0","0","0","0",""
"10-04-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-04-2025","espolontequila","64,019","38","0","0","0","0.0594%","0","0","0","0","0",""
"10-04-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-04-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-04-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-04-2025","patron","430,731","26","0","0","0","0.0060%","0","0","0","0","0",""
"10-04-2025","tequilacazadores","37,893","7","0","0","0","0.0185%","0","0","0","0","0",""
"10-04-2025","teremana","779,246","-76","0","0","0","-0.0098%","0","0","0","0","0",""
"10-05-2025","josecuervotequila","110,992","15","0","0","0","0.0135%","","0","0","0","0",""
"10-05-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-05-2025","casamigos","289,637","-17","1","6","6","-0.0059%","0","1","0","0","6",""
"10-05-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-05-2025","drink818","1,190,570","-97","1","493","493","-0.0081%","0","1","0","465","28",""
"10-05-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-05-2025","espolontequila","64,046","27","0","0","0","0.0422%","0","0","0","0","0",""
"10-05-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-05-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-05-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-05-2025","patron","430,768","37","0","0","0","0.0086%","0","0","0","0","0",""
"10-05-2025","tequilacazadores","37,898","5","0","0","0","0.0132%","0","0","0","0","0",""
