"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Tags"
"1/31/2026 11:41 am","18055223735399495","Instagram","Reel","Video","josecuervotequila"," ","https://www.instagram.com/reel/DULp4hkguTr/","From ground to glass, Cuervo has been leading the charge in tequila sustainability and we took that story straight to New Orleans 🌱✨

Hit the link in bio to learn more about our sustainability practices!",,"1,434","1,434","","1,121","1,121","","","3.84%","55","47","47","","","","","","","0","6","2","","","","","","","","","1,434","1,434","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/29/2026 3:30 pm","18033301121574380","Instagram","Post","Carousel","josecuervotequila"," ","https://www.instagram.com/p/DUG6nyAEtK6/","From agave to after-party ♻️

We don’t just craft tequila, we repurpose our agave bagasse into cups and new products that keep the celebration going with less waste. 

That’s how Cuervo does sustainability. 🌱",,"1,811","1,811","","728","728","","","2.1%","38","37","37","","","","","","","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/28/2026 11:51 am","18054067703676388","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3820164225625413420","",,"1,951","1,951","","1,609","1,609","","","0.05%","1","","","","","","","","","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","133","909","183","1","","","","",""
"1/28/2026 11:51 am","18081258662601035","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3820164189495636721","",,"2,618","2,618","","2,216","2,216","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","559","132","0","","","","",""
"1/27/2026 1:26 pm","18193111741343717","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3819487421482895105","",,"281","281","","236","236","","","0.36%","1","","","","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","191","46","0","","","","",""
"1/27/2026 1:25 pm","18393693406197790","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3819486815733124065","",,"47","47","","36","36","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","35","7","0","","","","",""
"1/27/2026 1:25 pm","17871231990533619","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3819486708937743714","",,"45","45","","36","36","","","2.22%","1","","","","","","","","","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","36","1","1","","","","",""
"1/27/2026 1:24 pm","18552656809044482","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3819486296327298463","",,"414","414","","362","362","","","0.24%","1","","","","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","219","16","0","","","","",""
"1/27/2026 8:38 am","18069310961444145","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3819342416885766383","",,"275","275","","220","220","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","199","31","0","","","","",""
"1/27/2026 8:37 am","18073035602381866","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3819341764990252534","",,"279","279","","227","227","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","203","8","0","","","","",""
"1/27/2026 8:36 am","18085566944272578","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3819341545049340965","",,"272","272","","232","232","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","231","10","0","","","","",""
"1/27/2026 8:36 am","17879833176462073","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3819341236935731379","",,"264","264","","238","238","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","230","13","0","","","","",""
"1/27/2026 8:35 am","18085732190160851","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3819341006634879376","",,"269","269","","243","243","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","239","7","0","","","","",""
"1/27/2026 8:35 am","18093769279984027","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3819340970580642835","",,"285","285","","250","250","","","0.35%","1","","","","","","","","","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","236","10","1","","","","",""
"1/27/2026 8:34 am","18109426246658043","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3819340555873046384","",,"313","313","","260","260","","","0.32%","1","","","","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","247","20","0","","","","",""
"1/27/2026 8:34 am","18071923661132362","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3819340372976208136","",,"343","343","","296","296","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","238","30","0","","","","",""
"1/26/2026 2:31 pm","17914572105122131","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3818795269031407903","",,"228","228","","194","194","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","151","44","0","","","","",""
"1/26/2026 2:31 pm","18302940454260463","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3818795119445754426","",,"239","239","","199","199","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","207","9","0","","","","",""
"1/26/2026 2:30 pm","18090024749513987","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3818794815736208620","",,"235","235","","203","203","","","0.43%","1","","","","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","198","6","0","","","","",""
"1/26/2026 2:00 pm","18089579180017159","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3818779484355541383","",,"246","246","","200","200","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","212","10","0","","","","",""
"1/26/2026 2:00 pm","18028492355596560","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3818779457822353206","",,"226","226","","201","201","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","198","6","0","","","","",""
"1/26/2026 2:00 pm","17879206674463314","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3818779406702166198","",,"158","158","","142","142","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","142","3","0","","","","",""
"1/26/2026 1:59 pm","18307515892280042","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3818779380974305118","",,"240","240","","204","204","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","214","3","0","","","","",""
"1/26/2026 1:59 pm","18020056484632245","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3818779341338144242","",,"249","249","","212","212","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","211","4","0","","","","",""
"1/26/2026 1:59 pm","18038125916759673","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3818779173054269582","",,"162","162","","146","146","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","146","9","0","","","","",""
"1/26/2026 1:52 pm","18088746404019884","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3818775529831506024","",,"158","158","","144","144","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","143","3","0","","","","",""
"1/26/2026 1:17 pm","18346402075227050","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3818758160782439396","",,"163","163","","150","150","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","152","4","0","","","","",""
"1/26/2026 1:16 pm","17930845152035803","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3818757568093687639","",,"185","185","","154","154","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","154","4","0","","","","",""
"1/26/2026 1:15 pm","17923754202072254","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3818757266540019682","",,"282","282","","213","213","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","228","9","0","","","","",""
"1/26/2026 1:15 pm","18429804766118013","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3818757158427644026","",,"260","260","","215","215","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","199","4","0","","","","",""
"1/26/2026 1:15 pm","18415727596191476","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3818756995361519517","",,"257","257","","214","214","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","217","5","0","","","","",""
