"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Tags"
"2/17/2026 2:03 pm","18108400858683374","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3834726028279752629","February 19th-22nd

25,000+ SQFT • 10+ IMMERSIVE ROOMS • 1 UNFORGETTABLE AGAVE EXPERIENCE",,"197","197","","174","174","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","128","39","0","","","","",""
"2/17/2026 2:00 pm","18167326180395100","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3834724561699460600","",,"193","193","","173","173","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","163","12","0","","","","",""
"2/17/2026 1:58 pm","18340376968211796","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3834723949893078697","",,"199","199","","179","179","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","164","7","0","","","","",""
"2/17/2026 1:57 pm","18013521296820205","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3834723410564346152","Are you ready?! 🥃🔥",,"211","211","","182","182","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","166","6","0","","","","",""
"2/17/2026 1:30 pm","18092876288054941","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3834709620573594508","",,"229","229","","199","199","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","183","14","0","","","","",""
"2/17/2026 1:29 pm","18189669250356595","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3834709072126349034","",,"240","240","","204","204","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","196","11","0","","","","",""
"2/17/2026 1:27 pm","18048029594504473","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3834708224851774457","",,"272","272","","230","230","","","0.37%","1","","","","","","","","","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","192","18","1","","","","",""
"2/16/2026 9:29 pm","18073490597128014","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3834226029082980042","",,"299","299","","259","259","","","0.33%","1","","","","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","197","36","0","","","","",""
"2/16/2026 9:28 pm","17945900814106950","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3834225569462789361","",,"253","253","","226","226","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","220","3","0","","","","",""
"2/16/2026 9:19 pm","18103799803839480","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3834220884844635043","",,"340","340","","307","307","","","0.29%","1","","","","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","225","6","0","","","","",""
"2/16/2026 9:19 pm","18083594342217366","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3834220758277305489","",,"275","275","","254","254","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","233","16","0","","","","",""
"2/16/2026 9:18 pm","17936638143156989","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3834220596276500650","",,"319","319","","279","279","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","231","18","0","","","","",""
