"Date","Network","Profile","Audience","Net Audience Growth","Audience Gained","Sent Messages (Total)","Published Posts (Total)","Received Messages (Total)","Impressions","Video Views","Engagements","Engagement Rate (per Impression)","Reactions","Comments","Shares","Post Link Clicks","Saves","Other Post Clicks","Other Engagements","Sent posts (X)","Sent Quotes (X)","Sent @Replies (X)","Sent Direct Messages (X)","Sent Posts (Facebook)","Sent Ad Posts (Facebook)","Sent Comments (Facebook)","Sent Ad Comments (Facebook)","Sent Private Messages (Facebook)","Sent Posts (Instagram)","Sent Stories (Instagram)","Sent Reels (Instagram)","Sent Comments (Instagram)","Sent Ad Comments (Instagram)","Sent Posts (Threads)","Sent Quotes (Threads)","Sent Comments (Threads)","Sent Posts (LinkedIn)","Sent Comments (LinkedIn)","Sent Direct Messages (LinkedIn)","Sent Videos (TikTok)","Sent Comments (TikTok)","Sent Pins (Pinterest)","Sent Saves (Pinterest)","Sent Videos (YouTube)","Received Mentions (X)","Received Direct Messages (X)","Received Reposts (X)","Received Quotes (X)","Received New Follower Alerts (X)","Received Wall Posts (Facebook)","Received Comments (Facebook)","Received Ad Comments (Facebook)","Received Private Messages (Facebook)","Received Comments (Instagram)","Received Ad Comments (Instagram)","Received Mentions (Instagram)","Received Media Tags (Instagram)","Received Posts (Threads)","Received Comments (Threads)","Received Comments (LinkedIn)","Received Direct Messages (LinkedIn)","Sent Direct Messages (Instagram)","Received Direct Messages (Instagram)","Received Comments (TikTok)"
"10-01-2025","Instagram","josecuervotequila","110,933","6","37","4","4","26","606,087","1,638","52","0.01%","33","6","9","","3","","","","","","","","","","","","0","4","0","0","0","","","","","","","","","","","","","","","","","","","","","2","0","6","2","","","","","0","6",""
"10-02-2025","Instagram","josecuervotequila","110,930","-3","45","55","2","52","624,678","374","46","0.01%","41","1","3","","1","","","","","","","","","","","","1","1","0","10","0","","","","","","","","","","","","","","","","","","","","","1","0","4","5","","","","","43","31",""
"10-03-2025","Instagram","josecuervotequila","110,958","28","56","0","0","31","651,875","289","47","0.01%","35","10","1","","1","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","3","0","9","5","","","","","0","4",""
"10-04-2025","Instagram","josecuervotequila","110,977","19","39","4","3","36","609,136","172","22","0%","17","3","1","","1","","","","","","","","","","","","0","2","1","0","0","","","","","","","","","","","","","","","","","","","","","6","0","2","6","","","","","1","7",""
"10-05-2025","Instagram","josecuervotequila","110,992","15","38","6","6","21","530,562","1,759","71","0.01%","56","6","7","","1","","","","","","","","","","","","0","6","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","4","2","","","","","0","5",""
"10-06-2025","Instagram","josecuervotequila","111,016","24","48","17","5","31","517,896","674","14","0%","13","0","1","","0","","","","","","","","","","","","1","4","0","0","0","","","","","","","","","","","","","","","","","","","","","1","0","2","4","","","","","12","12",""
"10-07-2025","Instagram","josecuervotequila","111,002","-14","33","6","4","39","582,501","305","93","0.02%","84","1","4","","3","","","","","","","","","","","","0","3","1","2","0","","","","","","","","","","","","","","","","","","","","","7","0","2","7","","","","","0","6",""
"10-08-2025","Instagram","josecuervotequila","111,013","11","37","9","7","40","709,723","2,589","126","0.02%","95","12","13","","5","","","","","","","","","","","","0","6","1","0","0","","","","","","","","","","","","","","","","","","","","","6","0","11","4","","","","","2","8",""
"10-09-2025","Instagram","josecuervotequila","111,029","16","38","2","1","38","545,782","1,342","32","0.01%","22","3","6","","0","","","","","","","","","","","","0","1","0","1","0","","","","","","","","","","","","","","","","","","","","","0","0","8","7","","","","","0","6",""
"10-10-2025","Instagram","josecuervotequila","111,038","9","42","0","0","34","631,427","590","24","0%","23","0","1","","0","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","7","5","","","","","0","5",""
