"Date","TikTok Profiles","Published Posts","Net Follower Growth","Followers","Video Views","Impressions","Engagements","Engagement Rate (per Impression)","Likes","Comments","Shares","Profile Views"
"10-01-2025","Jose Cuervo USA","0","0","77","","","0","","","","",""
"10-02-2025","Jose Cuervo USA","0","0","77","","","0","","","","",""
"10-03-2025","Jose Cuervo USA","0","0","77","","","0","","","","",""
"10-04-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","3"
"10-05-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"10-06-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"10-07-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"10-08-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","2"
"10-09-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","2"
"10-10-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"10-11-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","1"
"10-12-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"10-13-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"10-14-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","2"
"10-15-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","1"
"10-16-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","1"
"10-17-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"10-18-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"10-19-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"10-20-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"10-21-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"10-22-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"10-23-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"10-24-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"10-25-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","1"
"10-26-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"10-27-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"10-28-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"10-29-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"10-30-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"10-31-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"11-01-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","3"
"11-02-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"11-03-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"11-04-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"11-05-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"11-06-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"11-07-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"11-08-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","2"
"11-09-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","1"
"11-10-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"11-11-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"11-12-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"11-13-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"11-14-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"11-15-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","1"
"11-16-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","2"
"11-17-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"11-18-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"11-19-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"11-20-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"11-21-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"11-22-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"11-23-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"11-24-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"11-25-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"11-26-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"11-27-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"11-28-2025","Jose Cuervo USA","0","0","77","0","0","0","0%","0","0","0","0"
"11-29-2025","Jose Cuervo USA","0","0","77","1","1","0","0%","0","0","0","0"
"11-30-2025","Jose Cuervo USA","0","0","77","1","1","0","0%","0","0","0","1"
"12-01-2025","Jose Cuervo USA","0","0","77","3","3","1","33.33%","1","0","0","2"
"12-02-2025","Jose Cuervo USA","0","0","77","13","13","0","0%","0","0","0","2"
"12-03-2025","Jose Cuervo USA","0","-4","73","17","17","0","0%","0","0","0","2"
